Prest.,Atleta,Anno,Società,Città,Data
1:45.99,TECUCEANU Catalin,99,SILCA ULTRALITE VITTORIO V.TO,Ancona,19/02/2023
1:46.82,BARONTINI Simone,99,G.S. FIAMME AZZURRE,Ancona,19/02/2023
1:47.13,BARONTINI Simone,99,G.S. FIAMME AZZURRE,Istanbul,04/03/2023
1:47.22,TECUCEANU Catalin,99,SILCA ULTRALITE VITTORIO V.TO,Metz,11/02/2023
1:47.24,TECUCEANU Catalin,99,G.S. FIAMME ORO PADOVA,Istanbul,02/03/2023
1:47.39,RIVA Federico,00,G.A. FIAMME GIALLE,Ancona,19/02/2023
1:47.42,BARONTINI Simone,99,G.S. FIAMME AZZURRE,Torun,08/02/2023
1:47.43,TECUCEANU Catalin,99,SILCA ULTRALITE VITTORIO V.TO,Ostrava,03/02/2022
1:47.44,SCAPINI Mario,89,CUS PRO PATRIA MILANO,Siviglia,11/02/2011
1:47.48,TECUCEANU Catalin,99,SILCA ULTRALITE VITTORIO V.TO,Lievin,17/02/2022
1:47.51,SCAPINI Mario,89,CUS PRO PATRIA MILANO,Ancona,19/02/2010
1:47.51,BARONTINI Simone,99,G.S. FIAMME AZZURRE,Ancona,21/02/2021
1:47.53,TECUCEANU Catalin,99,G.S. FIAMME ORO PADOVA,Istanbul,04/03/2023
1:47.58,RIVA Federico,00,G.A. FIAMME GIALLE,Ancona,21/01/2023
1:47.60,BENEDETTI Giordano,89,G.A. FIAMME GIALLE,Vienna,29/01/2013
1:47.66,CONTI Francesco,95,ATL. IMOLA SACMI AVIS,Ancona,29/01/2022
1:47.73,BARONTINI Simone,99,G.S. FIAMME AZZURRE,Ostrava,05/02/2020
1:47.74,RIFESSER Lukas,86,C.S. ESERCITO,Vienna,03/02/2009
1:47.84,BARONTINI Simone,99,G.S. FIAMME AZZURRE,Ancona,29/01/2022
1:47.85,BARONTINI Simone,99,G.S. FIAMME AZZURRE,Ancona,24/01/2021
1:47.94,RIFESSER Lukas,86,C.S. ESERCITO,Birmingham,20/02/2010
1:47.94,BARONTINI Simone,99,G.S. FIAMME AZZURRE,Istanbul,02/03/2023
1:47.99,RIFESSER Lukas,86,C.S. ESERCITO,Karlsruhe,15/02/2009
1:48.01,BENEDETTI Giordano,89,G.A. FIAMME GIALLE,Karlsruhe,02/02/2013
1:48.06,TECUCEANU Catalin,99,SILCA ULTRALITE VITTORIO V.TO,Metz,06/02/2021
1:48.08,TECUCEANU Catalin,99,SILCA ULTRALITE VITTORIO V.TO,Ancona,27/02/2022
1:48.09,BARONTINI Simone,99,G.S. FIAMME AZZURRE,Manchester,28/01/2023
1:48.11,BENEDETTI Giordano,89,G.A. FIAMME GIALLE,Ancona,17/02/2013
1:48.21,RIFESSER Lukas,86,C.S. ESERCITO,Vienna,29/01/2008
1:48.23,CONTI Francesco,95,ATL. IMOLA SACMI AVIS,Metz,12/02/2022
1:48.27,BARONTINI Simone,99,G.S. FIAMME AZZURRE,Metz,11/02/2023
1:48.28,LAHBI Jacopo,93,ATLETICA MOGLIANO,Nashville,24/01/2015
1:48.28,TECUCEANU Catalin,99,SILCA ULTRALITE VITTORIO V.TO,Lievin,15/02/2023
1:48.29,RIFESSER Lukas,86,C.S. ESERCITO,Monaco,13/01/2008
1:48.37,RIFESSER Lukas,86,C.S. ESERCITO,Vienna,12/02/2011
1:48.37,RICCOBON Enrico,95,ATL BRUGNERA PN FRIULINTAGLI,Ancona,19/02/2023
1:48.41,BARONTINI Simone,99,G.S. FIAMME AZZURRE,Ancona,23/02/2020
1:48.45,SCAPINI Mario,89,CUS PRO PATRIA MILANO,Vienna,01/02/2011
1:48.46,BARONTINI Simone,99,G.S. FIAMME AZZURRE,Ancona,07/02/2021
1:48.47,SCIANDRA Livio,80,C.S. AERONAUTICA MILITARE,Genova,24/02/2008
1:48.49,RIFESSER Lukas,86,C.S. ESERCITO,Torino,06/03/2009
1:48.52,BUSSOTTI NEVES JUNIOR Joao capistrano mari,93,C.S. ESERCITO,Ancona,21/01/2023
1:48.54,TECUCEANU Catalin,99,G.S. FIAMME ORO PADOVA,Istanbul,05/03/2023
1:48.55,BARONTINI Simone,99,G.S. FIAMME AZZURRE,Sabadell,08/02/2022
1:48.59,SECK Mor,85,ATLETICA MONZA,Padova,02/03/2014
1:48.61,RICCOBON Enrico,95,ATL BRUGNERA PN FRIULINTAGLI,Padova,04/02/2023
1:48.62,BARONTINI Simone,99,S.E.F. STAMURA ANCONA A.S.D.,Ancona,17/02/2019
1:48.63,BARONTINI Simone,99,G.S. FIAMME AZZURRE,Istanbul,05/03/2023
1:48.65,BENEDETTI Giordano,89,G.A. FIAMME GIALLE,Ancona,28/02/2010
1:48.65,RIFESSER Lukas,86,C.S. ESERCITO,Vienna,01/02/2011
1:48.65,BUSSOTTI NEVES JUNIOR Joao capistrano mari,93,C.S. ESERCITO,Ancona,19/02/2023
1:48.67,BARONTINI Simone,99,G.S. FIAMME AZZURRE,Ostrava,03/02/2021
1:48.71,BOBBATO Maurizio,79,C.S. CARABINIERI SEZ. ATLETICA,Birmingham,04/03/2007
1:48.73,AQUARO Gabriele,97,TEAM-A LOMBARDIA,Vienna,30/01/2021
1:48.77,LAHBI Jacopo,93,ATLETICA MOGLIANO,Lexington,25/01/2014
1:48.77,TECUCEANU Catalin,99,SILCA ULTRALITE VITTORIO V.TO,Ancona,26/01/2020
1:48.78,BARONTINI Simone,99,G.S. FIAMME AZZURRE,Ancona,26/01/2020
1:48.78,BARONTINI Simone,99,G.S. FIAMME AZZURRE,Torun,05/03/2021
1:48.79,CONTI Francesco,95,ATL. IMOLA SACMI AVIS,Ancona,27/02/2022
1:48.84,BOBBATO Maurizio,79,C.S. CARABINIERI SEZ. ATLETICA,Tampere,04/02/2007
1:48.86,BENEDETTI Giordano,89,G.A. FIAMME GIALLE,Vienna,01/02/2011
1:48.88,AQUARO Gabriele,97,TEAM-A LOMBARDIA,Torun,05/03/2021
1:48.92,SCAPINI Mario,89,CUS PRO PATRIA MILANO,Parigi,04/03/2011
1:48.92,TECUCEANU Catalin,99,SILCA ULTRALITE VITTORIO V.TO,Gent,13/02/2021
1:48.95,BOBBATO Maurizio,79,C.S. CARABINIERI SEZ. ATLETICA,Tampere,07/02/2009
1:48.97,RICCOBON Enrico,95,ATL BRUGNERA PN FRIULINTAGLI,Padova,05/02/2022
1:48.97,BARONTINI Simone,99,G.S. FIAMME AZZURRE,Ancona,27/02/2022
1:48.98,SCAPINI Mario,89,PRO PATRIA CUS MILANO,Tampere,07/02/2009
1:49.02,SCAPINI Mario,89,CUS PRO PATRIA MILANO,Ancona,05/02/2011
1:49.03,NAVA Goran,81,PRO PATRIA CUS MILANO,Praga,26/02/2009
1:49.06,BOBBATO Maurizio,79,C.S. CARABINIERI SEZ. ATLETICA,Birmingham,03/03/2007
1:49.06,CURCUIANU Victor,99,ACSI CAMPIDOGLIO PALATINO,Ancona,21/02/2021
1:49.06,BUSSOTTI NEVES JUNIOR Joao capistrano mari,93,C.S. ESERCITO,Padova,12/02/2022
1:49.07,LAHBI Jacopo,93,ATLETICA MOGLIANO,Fayetteville,26/02/2016
1:49.07,ZERRAD Mohamed,93,ASD ATL. VOMANO,Ancona,29/01/2022
1:49.09,SCAPINI Mario,89,PRO PATRIA CUS MILANO,Praga,26/02/2009
1:49.12,MANISCALCO Tommaso,02,ATL.STUD. RIETI ANDREA MILARDI,Ancona,19/02/2023
1:49.13,RIFESSER Lukas,86,C.S. ESERCITO,Vienna,14/02/2015
1:49.16,TECUCEANU Catalin,99,SILCA ULTRALITE VITTORIO V.TO,Padova,31/01/2021
1:49.20,RICCOBON Enrico,95,ATL BRUGNERA PN FRIULINTAGLI,Stoccolma,04/02/2019
1:49.22,AQUARO Gabriele,97,TEAM-A LOMBARDIA,Ancona,23/02/2020
1:49.24,SECK Mor,85,ATLETICA MONZA,Padova,16/02/2014
1:49.32,LAHBI Jacopo,93,ATLETICA MOGLIANO,Nashville,24/02/2017
1:49.33,RIFESSER Lukas,86,C.S. ESERCITO,Genova,24/02/2008
1:49.34,AQUARO Gabriele,97,TEAM-A LOMBARDIA,Ancona,27/01/2019
1:49.39,LAHBI Jacopo,93,ATLETICA MOGLIANO,Ames,13/02/2016
1:49.39,RICCOBON Enrico,95,ATL BRUGNERA PN FRIULINTAGLI,Ancona,21/01/2023
1:49.40,BARONTINI Simone,99,S.E.F. STAMURA ANCONA A.S.D.,Ancona,19/02/2017
1:49.43,RICCOBON Enrico,95,ATL BRUGNERA PN FRIULINTAGLI,Padova,12/02/2022
1:49.44,SECK Mor,85,CUS PRO PATRIA MILANO,Ancona,19/02/2010
1:49.44,LAHBI Jacopo,93,ATLETICA MOGLIANO,Nashville,25/02/2017
