Prest.,Atleta,Anno,Società,Città,Data
8.02,LUCCHI CASADEI Nicola,90,ATL. ENDAS  CESENA,Ancona,20/01/2007
8.08,LUCCHI CASADEI Nicola,90,ATL. ENDAS  CESENA,Genova,24/02/2007
8.09,MANTOVANI Giovanni,90,SPORT ATL. FERMO,Ancona,20/01/2007
8.09,MANTOVANI Giovanni,90,SPORT ATL. FERMO,Ancona,20/01/2007
8.09,LUCCHI CASADEI Nicola,90,ATL. ENDAS  CESENA,Genova,24/02/2007
8.11,LUCCHI CASADEI Nicola,90,ATL. ENDAS  CESENA,Ancona,20/01/2007
8.11,DEVARTI Samuele,90,A.S.D.  C.U.S. GENOVA,Genova Palasport,11/02/2007
8.12,LUCCHI CASADEI Nicola,90,ATL. ENDAS  CESENA,Genova,24/02/2007
8.16,COMBI Stefano,90,GINN.MONZESE FORTI E LIBERI,Genova Palasport,11/02/2007
8.17,MANTOVANI Giovanni,90,SPORT ATL. FERMO,Genova,24/02/2007
8.19,MANTOVANI Giovanni,90,SPORT ATL. FERMO,Ancona,14/01/2007
8.19,COMBI Stefano,90,GINN.MONZESE FORTI E LIBERI,Ancona,27/01/2007
8.19,LUCCHI CASADEI Nicola,90,ATL. ENDAS  CESENA,Modena,03/02/2007
8.19,DEL PRATO Giacomo,91,A.ATL. INTERFLUMINA,Genova Palasport,11/02/2007
8.20,MANTOVANI Giovanni,90,SPORT ATL. FERMO,Ancona,07/02/2007
8.20,DEVARTI Samuele,90,A.S.D.  C.U.S. GENOVA,Genova Palasport,11/02/2007
8.22,LUCCHI CASADEI Nicola,90,ATL. ENDAS  CESENA,Modena,13/01/2007
8.22,LUCCHI CASADEI Nicola,90,ATL. ENDAS  CESENA,Modena,13/01/2007
8.22,COMBI Stefano,90,GINN.MONZESE FORTI E LIBERI,Saronno,21/01/2007
8.22,MANTOVANI Giovanni,90,SPORT ATL. FERMO,Ancona,10/02/2007
8.23,MANTOVANI Giovanni,90,SPORT ATL. FERMO,Genova,24/02/2007
8.24,MANTOVANI Giovanni,90,SPORT ATL. FERMO,Ancona,07/02/2007
8.24,COMBI Stefano,90,GINN.MONZESE FORTI E LIBERI,Modena,04/03/2007
8.25,MANTOVANI Giovanni,90,SPORT ATL. FERMO,Ancona,14/01/2007
8.26,DEL PRATO Giacomo,91,A.ATL. INTERFLUMINA,Castenedolo,28/01/2007
8.26,COMBI Stefano,90,GINN.MONZESE FORTI E LIBERI,Genova,24/02/2007
8.26,COMBI Stefano,90,GINN.MONZESE FORTI E LIBERI,Saronno,18/03/2007
8.29,LUCCHI CASADEI Nicola,90,ATL. ENDAS  CESENA,Modena,03/02/2007
8.30,DEVARTI Samuele,90,A.S.D.  C.U.S. GENOVA,Genova,24/02/2007
8.32,MANTOVANI Giovanni,90,SPORT ATL. FERMO,Genova,24/02/2007
8.32,PIAZZA Matteo,90,PROSPORT ATL. FIRENZE,Genova,24/02/2007
8.32,NESTI Lorenzo,90,ATL. CUS PISA,Modena,04/03/2007
8.33,MANTOVANI Giovanni,90,SPORT ATL. FERMO,Ancona,10/02/2007
8.33,MARCATO Riccardo,90,ASSINDUSTRIA SPORT PADOVA,Modena,04/03/2007
8.34,ZANIN Alessandro,90,ATL. STUDENTESCA CA.RI.RI,Rieti,28/01/2007
8.35,NESTI Lorenzo,90,ATL. CUS PISA,Genova,24/02/2007
8.36,NESTI Lorenzo,90,ATL. CUS PISA,Firenze,20/01/2007
8.36,NESTI Lorenzo,90,ATL. CUS PISA,Firenze,27/01/2007
8.36,COMBI Stefano,90,GINN.MONZESE FORTI E LIBERI,Genova,24/02/2007
8.37,DEVARTI Samuele,90,A.S.D.  C.U.S. GENOVA,Genova,24/02/2007
8.37,DEVARTI Samuele,90,A.S.D.  C.U.S. GENOVA,Genova,24/02/2007
8.38,COMBI Stefano,90,GINN.MONZESE FORTI E LIBERI,Genova,24/02/2007
8.38,MARCATO Riccardo,90,ASSINDUSTRIA SPORT PADOVA,Modena,04/03/2007
8.39,NESTI Lorenzo,90,ATL. CUS PISA,Firenze,20/01/2007
8.39,PIAZZA Matteo,90,PROSPORT ATL. FIRENZE,Ancona,27/01/2007
8.39,COMBI Stefano,90,GINN.MONZESE FORTI E LIBERI,Genova Palasport,11/02/2007
8.40,CALVI Michele,90,G.S.SELF ATL. MONTANARI GRUZZA,Modena,13/01/2007
