Prest.,Atleta,Anno,Società,Città,Data
12.01,CESCATO Beatrice,93,ANA ATL.FELTRE,Bressanone,23/05/2010
12.01,CESCATO Beatrice,93,ANA ATL.FELTRE,Bressanone,23/05/2010
11.08,CESCATO Beatrice,93,ANA ATL.FELTRE,Vicenza,14/09/2010
11.08,CESCATO Beatrice,93,ANA ATL.FELTRE,Vicenza,14/09/2010
11.03,CESCATO Beatrice,93,ANA ATL.FELTRE,Rieti,03/10/2010
11.03,CESCATO Beatrice,93,ANA ATL.FELTRE,Marcon,09/05/2015
11.03,CESCATO Beatrice,93,ANA ATL.FELTRE,Rieti,03/10/2010
11.03,CESCATO Beatrice,93,ANA ATL.FELTRE,Marcon,09/05/2015
10.86,CESCATO Beatrice,93,ANA ATL.FELTRE,Rossano Veneto,05/09/2010
10.86,CESCATO Beatrice,93,ANA ATL.FELTRE,Rossano Veneto,05/09/2010
10.65,CESCATO Beatrice,93,ANA ATL.FELTRE,Longarone,01/05/2010
10.65,CESCATO Beatrice,93,ANA ATL.FELTRE,Longarone,01/05/2010
10.63,CESCATO Beatrice,93,ANA ATL.FELTRE,Feltre,26/08/2009
10.63,CESCATO Beatrice,93,ANA ATL.FELTRE,Feltre,26/08/2009
10.62,CESCATO Beatrice,93,ANA ATL.FELTRE,Verona,02/06/2010
10.62,CESCATO Beatrice,93,ANA ATL.FELTRE,Verona,02/06/2010
10.59,CESCATO Beatrice,93,ANA ATL.FELTRE,Conegliano,15/07/2009
10.59,CESCATO Beatrice,93,ANA ATL.FELTRE,Conegliano,15/07/2009
10.51,CESCATO Beatrice,93,ANA ATL.FELTRE,Mogliano Veneto,18/09/2010
10.51,CESCATO Beatrice,93,ANA ATL.FELTRE,Mogliano Veneto,18/09/2010
10.49,CESCATO Beatrice,93,ANA ATL.FELTRE,Mogliano Veneto,19/09/2009
10.49,CESCATO Beatrice,93,ANA ATL.FELTRE,Mogliano Veneto,19/09/2009
10.48,CESCATO Beatrice,93,ANA ATL.FELTRE,Feltre,25/08/2010
10.48,CESCATO Beatrice,93,ANA ATL.FELTRE,Feltre,25/08/2010
10.39,CESCATO Beatrice,93,ANA ATL.FELTRE,Pergine E Borgo Valsugana,13/09/2009
