Prest.,Atleta,Anno,Società,Città,Data
5:33.93,PERENZIN Alice,87,ANA ATL.FELTRE,Cles,25/08/2005
5:37.54,PERENZIN Alice,87,ANA ATL.FELTRE,Cortina D Ampezzo,19/08/2005
5:38.03,PERENZIN Alice,87,ANA ATL.FELTRE,Conegliano,25/04/2005
5:38.1,PERENZIN Alice,87,ANA ATL.FELTRE,Longarone,22/06/2005
5:46.81,PERENZIN Alice,87,ANA ATL.FELTRE,Marcon,24/09/2005
4:52.3,STALLIVIERE Veronica,92,ANA ATL.FELTRE,Villafranca Di Verona,28/06/2008
4:53.13,STALLIVIERE Veronica,92,ANA ATL.FELTRE,Abano Terme,24/05/2008
4:53.61,STALLIVIERE Veronica,92,ANA ATL.FELTRE,Pordenone,11/07/2008
4:54.19,STALLIVIERE Veronica,92,ANA ATL.FELTRE,San Giovanni Lupatoto,21/06/2008
4:58.11,STALLIVIERE Veronica,92,ANA ATL.FELTRE,Piombino Dese,26/04/2008
5:00.71,STALLIVIERE Veronica,92,ANA ATL.FELTRE,Conegliano,07/06/2008
5:02.72,STALLIVIERE Veronica,92,ANA ATL.FELTRE,Bovolone,20/09/2008
4:57.06,STALLIVIERE Veronica,92,ANA ATL.FELTRE,Conegliano,15/07/2009
4:57.74,STALLIVIERE Veronica,92,ANA ATL.FELTRE,Trento,21/07/2009
5:00.9,STALLIVIERE Veronica,92,ANA ATL.FELTRE,Feltre,26/08/2009
5:08.0,STALLIVIERE Veronica,92,ANA ATL.FELTRE,Feltre,20/06/2009
5:09.44,STALLIVIERE Veronica,92,ANA ATL.FELTRE,Trento,06/06/2009
5:12.07,STALLIVIERE Veronica,92,ANA ATL.FELTRE,Mestre,02/05/2009
5:22.55,STALLIVIERE Veronica,92,ANA ATL.FELTRE,Rosa,23/05/2009
5:55.4,DALLA ROSA Silvia,93,ANA ATL.FELTRE,Feltre,20/06/2009
5:08.35,STALLIVIERE Veronica,92,ANA ATL.FELTRE,Feltre,19/06/2010
5:13.79,TONIN Francesca,94,ANA ATL.FELTRE,Trento,14/09/2010
5:15.6,STALLIVIERE Veronica,92,ANA ATL.FELTRE,Belluno,10/04/2010
5:16.09,TONIN Francesca,94,ANA ATL.FELTRE,Rossano Veneto,05/09/2010
5:16.66,NICOLETTO Giada,94,ANA ATL.FELTRE,Verona,29/05/2010
5:19.89,TONIN Francesca,94,ANA ATL.FELTRE,Feltre,19/06/2010
5:19.99,TONIN Francesca,94,ANA ATL.FELTRE,Verona,29/05/2010
5:24.24,TONIN Francesca,94,ANA ATL.FELTRE,Mogliano Veneto,18/09/2010
5:24.34,TONIN Francesca,94,ANA ATL.FELTRE,Mestre,08/05/2010
5:47.78,STALLIVIERE Veronica,92,ANA ATL.FELTRE,Marcon,02/05/2010
5:18.56,TONIN Francesca,94,ANA ATL.FELTRE,Vicenza,21/05/2011
5:22.12,TONIN Francesca,94,ANA ATL.FELTRE,Rovigo,07/05/2011
5:22.35,NICOLETTO Giada,94,ANA ATL.FELTRE,Vicenza,21/05/2011
5:22.64,TONIN Francesca,94,ANA ATL.FELTRE,Bastia Umbra,11/06/2011
5:23.98,TONIN Francesca,94,ANA ATL.FELTRE,Treviso,17/04/2011
5:25.15,TONIN Francesca,94,ANA ATL.FELTRE,Montebelluna,01/05/2011
5:25.31,TONIN Francesca,94,ANA ATL.FELTRE,Feltre,04/06/2011
5:26.50,PERENZIN Alice,87,ANA ATL.FELTRE,Feltre,04/06/2011
5:34.43,DALLA ROSA Silvia,93,ANA ATL.FELTRE,Treviso,17/04/2011
5:26.63,PERENZIN Alice,87,ANA ATL.FELTRE,Vicenza,19/05/2012
5:31.33,DUCATI Marianna,85,ANA ATL.FELTRE,Trento,24/07/2012
5:31.92,DALLA ROSA Silvia,93,ANA ATL.FELTRE,Vicenza,19/05/2012
6:04.57,ZANELLA Anna,95,ANA ATL.FELTRE,Abano Terme,12/05/2012
6:07.39,COLMANET Elena,96,ANA ATL.FELTRE,Feltre,21/06/2012
6:12.36,COLMANET Elena,96,ANA ATL.FELTRE,Vicenza,26/05/2012
5:13.88,VETTORATA Greta,90,ANA ATL.FELTRE,Marcon,11/05/2013
4:32.49,FANTINEL Ilaria,98,ANA ATL.FELTRE,Brugnera,06/09/2014
4:36.94,FANTINEL Ilaria,98,ANA ATL.FELTRE,Rieti,22/06/2014
4:38.27,FANTINEL Ilaria,98,ANA ATL.FELTRE,Treviso,13/04/2014
4:39.42,FANTINEL Ilaria,98,ANA ATL.FELTRE,Bressanone,08/06/2014
4:43.94,FANTINEL Ilaria,98,ANA ATL.FELTRE,Caorle,31/05/2014
5:21.87,DALLA GASPERINA Nadia,98,ANA ATL.FELTRE,Padova,20/09/2014
5:25.18,DALLA GASPERINA Nadia,98,ANA ATL.FELTRE,Marcon,14/06/2014
5:32.01,DALLA GASPERINA Nadia,98,ANA ATL.FELTRE,Caorle,31/05/2014
5:40.02,DALLA GASPERINA Nadia,98,ANA ATL.FELTRE,Vicenza,10/05/2014
5:41.45,FANTINEL Mara,98,ANA ATL.FELTRE,Caorle,31/05/2014
5:49.73,FANTINEL Mara,98,ANA ATL.FELTRE,Vicenza,10/05/2014
6:01.55,FANTINEL Mara,98,ANA ATL.FELTRE,Treviso,13/04/2014
6:02.83,DALLA GASPERINA Nadia,98,ANA ATL.FELTRE,Treviso,13/04/2014
6:06.1,FANTINEL Mara,98,ANA ATL.FELTRE,Belluno,06/04/2014
4:28.23,FANTINEL Ilaria,98,ANA ATL.FELTRE,Trento,14/07/2015
4:34.53,FANTINEL Ilaria,98,ANA ATL.FELTRE,Brugnera,05/09/2015
4:36.25,FANTINEL Ilaria,98,ANA ATL.FELTRE,Caprino Veronese,27/06/2015
4:38.38,FANTINEL Ilaria,98,ANA ATL.FELTRE,Ponzano Veneto,03/07/2015
4:39.94,FANTINEL Ilaria,98,ANA ATL.FELTRE,Rosa,19/09/2015
4:41.39,FANTINEL Ilaria,98,ANA ATL.FELTRE,Milano,21/06/2015
4:42.05,FANTINEL Ilaria,98,ANA ATL.FELTRE,Bressanone,24/05/2015
4:42.97,FANTINEL Ilaria,98,ANA ATL.FELTRE,Marcon,09/05/2015
4:45.94,FANTINEL Ilaria,98,ANA ATL.FELTRE,Villafranca Di Verona,30/05/2015
5:21.77,CORRENT Chiara,99,ANA ATL.FELTRE,Vicenza,02/05/2015
5:29.03,COLMANET Elena,96,ANA ATL.FELTRE,Feltre,20/06/2015
5:29.87,CORRENT Chiara,99,ANA ATL.FELTRE,Trento,14/07/2015
5:30.46,CORRENT Chiara,99,ANA ATL.FELTRE,Marcon,11/04/2015
