Prest.,Atleta,Anno,Società,Città,Data
40:56,TONIN Francesca,94,ANA ATL.FELTRE,Feltre,26/08/2017
46:07,DUCATI Marianna,85,ANA ATL.FELTRE,Feltre,26/08/2017
37:54,TONIN Francesca,94,ANA ATL.FELTRE,Feltre,25/08/2018
38:17,TONIN Francesca,94,ANA ATL.FELTRE,Vicenza,18/03/2018
39:54,TONIN Francesca,94,ANA ATL.FELTRE,Alberobello,01/09/2018
40:04,TONIN Francesca,94,ANA ATL.FELTRE,Bassano Del Grappa,01/07/2018
44:55,DE BACCO Letizia,87,ANA ATL.FELTRE,Trieste,18/11/2018
48:55,DAL MOLIN Monica,67,ANA ATL.FELTRE,Feltre,25/08/2018
43:08,DE BACCO Letizia,87,ANA ATL.FELTRE,Camisano,11/05/2019
47:13,DE SIMOI Genny,78,ANA ATL.FELTRE,Feltre,31/08/2019
53:44,TONIOLO Maria,59,ANA ATL.FELTRE,Feltre,31/08/2019
45:45,MACCAGNAN Rossella susanna,86,ANA ATL.FELTRE,Feltre,28/08/2021
46:32,MACCAGNAN Rossella susanna,86,ANA ATL.FELTRE,Bardolino,17/10/2021
40:56,TONIN Francesca,94,ANA ATL.FELTRE,Feltre,26/08/2017
46:07,DUCATI Marianna,85,ANA ATL.FELTRE,Feltre,26/08/2017
37:54,TONIN Francesca,94,ANA ATL.FELTRE,Feltre,25/08/2018
38:17,TONIN Francesca,94,ANA ATL.FELTRE,Vicenza,18/03/2018
39:54,TONIN Francesca,94,ANA ATL.FELTRE,Alberobello,01/09/2018
40:04,TONIN Francesca,94,ANA ATL.FELTRE,Bassano Del Grappa,01/07/2018
44:55,DE BACCO Letizia,87,ANA ATL.FELTRE,Trieste,18/11/2018
48:55,DAL MOLIN Monica,67,ANA ATL.FELTRE,Feltre,25/08/2018
43:08,DE BACCO Letizia,87,ANA ATL.FELTRE,Camisano,11/05/2019
47:13,DE SIMOI Genny,78,ANA ATL.FELTRE,Feltre,31/08/2019
53:44,TONIOLO Maria,59,ANA ATL.FELTRE,Feltre,31/08/2019
45:45,MACCAGNAN Rossella susanna,86,ANA ATL.FELTRE,Feltre,28/08/2021
46:32,MACCAGNAN Rossella susanna,86,ANA ATL.FELTRE,Bardolino,17/10/2021
