Prest.,Atleta,Anno,Società,Città,Data
9:38.76,CORSO Lorenzo,99,ANA ATL.FELTRE,Padova,30/01/2016
9:14.19,DEOLA Ruben iavor,00,ANA ATL.FELTRE,Padova,04/02/2018
9:18.94,BONAN Marco,00,ANA ATL.FELTRE,Padova,04/02/2018
10:14.36,CAPPELLETTO Pablo luis,02,ANA ATL.FELTRE,Padova,04/02/2018
10:17.79,SCOPEL Mattia,00,ANA ATL.FELTRE,Padova,04/02/2018
10:22.84,ANTONIOL Samuel,02,ANA ATL.FELTRE,Padova,04/02/2018
10:27.17,DA RIN DE MONEGO Lorenzo,00,ANA ATL.FELTRE,Padova,04/02/2018
9:24.35,BRUNET Lorenzo,02,ANA ATL.FELTRE,Padova,03/02/2019
9:34.35,LOSS Nikolas,01,ANA ATL.FELTRE,Padova,03/02/2019
8:46.06,DEOLA Ruben iavor,00,ANA ATL.FELTRE,Padova,31/01/2021
8:35.58,DEOLA Ruben iavor,00,ANA ATL.FELTRE,Padova,15/01/2022
8:36.20,DEOLA Ruben iavor,00,ANA ATL.FELTRE,Ancona,06/02/2022
8:56.62,POLESANA Filippo,00,ANA ATL.FELTRE,Padova,15/01/2022
