Prest.,Atleta,Anno,Società,Città,Data
54.89,TIREL Enrico,93,ANA ATL.FELTRE,Rieti,03/10/2010
54.89,TIREL Enrico,93,ANA ATL.FELTRE,Rieti,03/10/2010
55.46,TIREL Enrico,93,ANA ATL.FELTRE,Rieti,02/10/2010
55.46,TIREL Enrico,93,ANA ATL.FELTRE,Rieti,02/10/2010
55.78,TIREL Enrico,93,ANA ATL.FELTRE,Mogliano Veneto,19/09/2010
55.78,TIREL Enrico,93,ANA ATL.FELTRE,Mogliano Veneto,19/09/2010
56.06,COLLE Nicola,96,ANA ATL.FELTRE,Trento,09/06/2013
56.06,COLLE Nicola,96,ANA ATL.FELTRE,Trento,09/06/2013
56.36,TIREL Enrico,93,ANA ATL.FELTRE,Rossano Veneto,05/09/2010
56.36,TIREL Enrico,93,ANA ATL.FELTRE,Rossano Veneto,05/09/2010
56.50,PARANI Aire,94,ANA ATL.FELTRE,Vicenza,22/05/2011
56.50,PARANI Aire,94,ANA ATL.FELTRE,Vicenza,22/05/2011
56.52,PARANI Aire,94,ANA ATL.FELTRE,Saronno,12/06/2011
56.52,PARANI Aire,94,ANA ATL.FELTRE,Saronno,12/06/2011
56.62,PARANI Aire,94,ANA ATL.FELTRE,Bassano Del Grappa,18/09/2011
56.62,PARANI Aire,94,ANA ATL.FELTRE,Bassano Del Grappa,18/09/2011
57.01,PARANI Aire,94,ANA ATL.FELTRE,Vedelago,11/09/2011
57.01,PARANI Aire,94,ANA ATL.FELTRE,Vedelago,11/09/2011
57.03,PARANI Aire,94,ANA ATL.FELTRE,Rovigo,08/05/2011
57.03,PARANI Aire,94,ANA ATL.FELTRE,Rovigo,08/05/2011
57.05,PARANI Aire,94,ANA ATL.FELTRE,Rieti,01/10/2011
57.05,PARANI Aire,94,ANA ATL.FELTRE,Rieti,01/10/2011
57.33,BONAN Marco,00,ANA ATL.FELTRE,Vicenza,14/05/2017
57.33,BONAN Marco,00,ANA ATL.FELTRE,Vicenza,14/05/2017
57.35,BONAN Marco,00,ANA ATL.FELTRE,Chiari,01/10/2017
57.35,BONAN Marco,00,ANA ATL.FELTRE,Chiari,01/10/2017
57.43,COLLE Nicola,96,ANA ATL.FELTRE,Montebelluna,05/05/2013
57.43,COLLE Nicola,96,ANA ATL.FELTRE,Montebelluna,05/05/2013
57.44,COLLE Nicola,96,ANA ATL.FELTRE,Vicenza,27/05/2012
57.44,COLLE Nicola,96,ANA ATL.FELTRE,Vicenza,27/05/2012
57.48,PARANI Aire,94,ANA ATL.FELTRE,Rossano Veneto,04/09/2011
57.48,PARANI Aire,94,ANA ATL.FELTRE,Rossano Veneto,04/09/2011
57.64,PARANI Aire,94,ANA ATL.FELTRE,Montebelluna,01/05/2011
57.64,PARANI Aire,94,ANA ATL.FELTRE,Montebelluna,01/05/2011
57.73,COLLE Nicola,96,ANA ATL.FELTRE,Abano Terme,13/05/2012
57.73,COLLE Nicola,96,ANA ATL.FELTRE,Abano Terme,13/05/2012
57.75,TIREL Enrico,93,ANA ATL.FELTRE,Vedelago,12/09/2010
57.75,TIREL Enrico,93,ANA ATL.FELTRE,Vedelago,12/09/2010
57.77,BONAN Marco,00,ANA ATL.FELTRE,Rosa,18/09/2016
57.77,BONAN Marco,00,ANA ATL.FELTRE,Rosa,18/09/2016
57.82,TIREL Enrico,93,ANA ATL.FELTRE,Rosa,24/05/2009
57.82,TIREL Enrico,93,ANA ATL.FELTRE,Rosa,24/05/2009
57.93,COLLE Nicola,96,ANA ATL.FELTRE,Bastia Umbra,24/06/2012
57.93,COLLE Nicola,96,ANA ATL.FELTRE,Bastia Umbra,24/06/2012
57.98,BONAN Marco,00,ANA ATL.FELTRE,Bovolone,02/10/2016
57.98,BONAN Marco,00,ANA ATL.FELTRE,Bovolone,02/10/2016
58.03,PARANI Aire,94,ANA ATL.FELTRE,Mestre,09/05/2010
58.03,PARANI Aire,94,ANA ATL.FELTRE,Mestre,09/05/2010
58.08,COLLE Nicola,96,ANA ATL.FELTRE,Vicenza,19/05/2013
58.08,COLLE Nicola,96,ANA ATL.FELTRE,Vicenza,19/05/2013
58.11,ZANDOMENEGHI Marco,97,ANA ATL.FELTRE,Trento,05/10/2014
58.11,ZANDOMENEGHI Marco,97,ANA ATL.FELTRE,Trento,05/10/2014
58.22,PARANI Aire,94,ANA ATL.FELTRE,Feltre,04/06/2011
58.22,PARANI Aire,94,ANA ATL.FELTRE,Feltre,04/06/2011
58.37,AGOSTINETTO Isacco,99,ANA ATL.FELTRE,Jesolo,17/06/2016
58.37,AGOSTINETTO Isacco,99,ANA ATL.FELTRE,Jesolo,17/06/2016
58.53,BONAN Marco,00,ANA ATL.FELTRE,Jesolo,17/09/2017
58.53,BONAN Marco,00,ANA ATL.FELTRE,Jesolo,17/09/2017
58.57,ZANDOMENEGHI Marco,97,ANA ATL.FELTRE,Merano,24/05/2014
58.57,ZANDOMENEGHI Marco,97,ANA ATL.FELTRE,Merano,24/05/2014
58.66,BONAN Marco,00,ANA ATL.FELTRE,Vicenza,01/05/2016
58.66,BONAN Marco,00,ANA ATL.FELTRE,Vicenza,01/05/2016
58.75,PARANI Aire,94,ANA ATL.FELTRE,Rieti,02/10/2010
58.75,PARANI Aire,94,ANA ATL.FELTRE,Rieti,02/10/2010
58.84,PARANI Aire,94,ANA ATL.FELTRE,Verona,30/05/2010
58.84,PARANI Aire,94,ANA ATL.FELTRE,Verona,30/05/2010
59.19,COLLE Nicola,96,ANA ATL.FELTRE,Marcon,06/05/2012
59.19,COLLE Nicola,96,ANA ATL.FELTRE,Marcon,06/05/2012
59.23,COLLE Nicola,96,ANA ATL.FELTRE,Rossano Veneto,02/09/2012
59.23,COLLE Nicola,96,ANA ATL.FELTRE,Rossano Veneto,02/09/2012
59.30,ZABOT Julian,02,ANA ATL.FELTRE,Bovolone,30/09/2018
59.30,ZABOT Julian,02,ANA ATL.FELTRE,Bovolone,30/09/2018
59.33,AGOSTINETTO Isacco,99,ANA ATL.FELTRE,Vicenza,01/05/2016
59.33,AGOSTINETTO Isacco,99,ANA ATL.FELTRE,Vicenza,01/05/2016
59.39,COLLE Nicola,96,ANA ATL.FELTRE,Firenze,29/09/2012
59.39,COLLE Nicola,96,ANA ATL.FELTRE,Firenze,29/09/2012
59.41,AGOSTINETTO Isacco,99,ANA ATL.FELTRE,Vicenza,03/05/2015
59.41,AGOSTINETTO Isacco,99,ANA ATL.FELTRE,Vicenza,03/05/2015
59.66,PARANI Aire,94,ANA ATL.FELTRE,Vedelago,12/09/2010
59.66,PARANI Aire,94,ANA ATL.FELTRE,Vedelago,12/09/2010
59.72,ZABOT Julian,02,ANA ATL.FELTRE,Treviso,23/05/2018
59.72,ZABOT Julian,02,ANA ATL.FELTRE,Treviso,23/05/2018
59.84,AGOSTINETTO Isacco,99,ANA ATL.FELTRE,Vedelago,09/07/2016
59.84,AGOSTINETTO Isacco,99,ANA ATL.FELTRE,Vedelago,09/07/2016
59.85,PARANI Aire,94,ANA ATL.FELTRE,Saronno,27/06/2010
59.85,PARANI Aire,94,ANA ATL.FELTRE,Saronno,27/06/2010
59.88,ZANDOMENEGHI Marco,97,ANA ATL.FELTRE,Vicenza,04/05/2014
59.88,ZANDOMENEGHI Marco,97,ANA ATL.FELTRE,Vicenza,04/05/2014
59.91,PARANI Aire,94,ANA ATL.FELTRE,Rossano Veneto,05/09/2010
59.91,PARANI Aire,94,ANA ATL.FELTRE,Rossano Veneto,05/09/2010
59.97,AGOSTINETTO Isacco,99,ANA ATL.FELTRE,Rosa,18/09/2016
59.97,AGOSTINETTO Isacco,99,ANA ATL.FELTRE,Rosa,18/09/2016
1:00.12,ZANDOMENEGHI Marco,97,ANA ATL.FELTRE,Vedelago,13/09/2014
1:00.12,ZANDOMENEGHI Marco,97,ANA ATL.FELTRE,Vedelago,13/09/2014
1:00.15,ZABOT Julian,02,ANA ATL.FELTRE,Modena,20/05/2018
1:00.15,ZABOT Julian,02,ANA ATL.FELTRE,Modena,20/05/2018
1:00.18,ZABOT Julian,02,ANA ATL.FELTRE,Vicenza,16/09/2018
1:00.18,ZABOT Julian,02,ANA ATL.FELTRE,Vicenza,16/09/2018
1:00.19,AGOSTINETTO Isacco,99,ANA ATL.FELTRE,Vedelago,11/07/2015
1:00.19,AGOSTINETTO Isacco,99,ANA ATL.FELTRE,Vedelago,11/07/2015
1:00.26,ZABOT Julian,02,ANA ATL.FELTRE,San Biagio Di Callalta,13/05/2018
1:00.26,ZABOT Julian,02,ANA ATL.FELTRE,San Biagio Di Callalta,13/05/2018
1:00.71,ZABOT Julian,02,ANA ATL.FELTRE,Vicenza,19/05/2019
1:00.71,ZABOT Julian,02,ANA ATL.FELTRE,Vicenza,19/05/2019
1:01.07,AGOSTINETTO Isacco,99,ANA ATL.FELTRE,Rosa,20/09/2015
1:01.07,AGOSTINETTO Isacco,99,ANA ATL.FELTRE,Rosa,20/09/2015
1:01.52,AGOSTINETTO Isacco,99,ANA ATL.FELTRE,Treviso,27/05/2015
1:01.52,AGOSTINETTO Isacco,99,ANA ATL.FELTRE,Treviso,27/05/2015
1:01.61,ZABOT Julian,02,ANA ATL.FELTRE,Vittorio Veneto,14/05/2019
1:01.61,ZABOT Julian,02,ANA ATL.FELTRE,Vittorio Veneto,14/05/2019
1:01.63,AGOSTINETTO Isacco,99,ANA ATL.FELTRE,Aquila,04/10/2015
