Prest.,Atleta,Anno,Società,Città,Data
33:04,MINELLA Loris,86,ANA ATL.FELTRE,Volpago Montello,29/10/2017
33:04,MINELLA Loris,86,ANA ATL.FELTRE,Volpago Montello,29/10/2017
33:16,MINELLA Loris,86,ANA ATL.FELTRE,Feltre,28/08/2021
33:16,MINELLA Loris,86,ANA ATL.FELTRE,Feltre,28/08/2021
33:21,DA RIN DE MONEGO Lorenzo,00,ANA ATL.FELTRE,Treviso,02/06/2023
33:21,DA RIN DE MONEGO Lorenzo,00,ANA ATL.FELTRE,Treviso,02/06/2023
33:30,DEOLA Ruben iavor,00,ANA ATL.FELTRE,Feltre,28/08/2021
33:30,DEOLA Ruben iavor,00,ANA ATL.FELTRE,Feltre,28/08/2021
34:32,MINELLA Loris,86,ANA ATL.FELTRE,Feltre,31/08/2019
34:32,MINELLA Loris,86,ANA ATL.FELTRE,Feltre,31/08/2019
34:54,BONAN Marco,00,ANA ATL.FELTRE,Bardolino,20/10/2019
34:54,BONAN Marco,00,ANA ATL.FELTRE,Bardolino,20/10/2019
35:01,PAULETTI Michele,99,ANA ATL.FELTRE,Feltre,28/08/2021
35:01,PAULETTI Michele,99,ANA ATL.FELTRE,Feltre,28/08/2021
35:11,SACCHET Lucio,81,ANA ATL.FELTRE,Feltre,31/08/2019
35:11,SACCHET Lucio,81,ANA ATL.FELTRE,Feltre,31/08/2019
35:47,BEE Ivo,71,ANA ATL.FELTRE,Vicenza,16/03/2014
35:47,BEE Ivo,71,ANA ATL.FELTRE,Vicenza,16/03/2014
36:29,POLESANA Federico,94,ANA ATL.FELTRE,Volpago Montello,29/10/2017
36:29,CECCHIN Simone,96,ANA ATL.FELTRE,Volpago Montello,29/10/2017
36:29,POLESANA Federico,94,ANA ATL.FELTRE,Volpago Montello,29/10/2017
36:29,CECCHIN Simone,96,ANA ATL.FELTRE,Volpago Montello,29/10/2017
36:46,MINELLA Loris,86,ANA ATL.FELTRE,Asiago,06/06/2015
36:46,MINELLA Loris,86,ANA ATL.FELTRE,Asiago,06/06/2015
36:57,BEE Ivo,71,ANA ATL.FELTRE,Vicenza,22/03/2015
36:57,BEE Ivo,71,ANA ATL.FELTRE,Vicenza,22/03/2015
37:31,POLLONI Michele,91,ANA ATL.FELTRE,Feltre,31/08/2019
37:31,POLLONI Michele,91,ANA ATL.FELTRE,Feltre,31/08/2019
38:30,SCOPEL Alessio,87,ANA ATL.FELTRE,Volpago Montello,29/10/2017
