Prest.,Atleta,Anno,Società,Città,Data
1h08:17,SACCHET Lucio,81,ANA ATL.FELTRE,Dolo,03/04/2016
1h08:17,SACCHET Lucio,81,ANA ATL.FELTRE,Dolo,03/04/2016
1h08:53,POLESANA Federico,94,ANA ATL.FELTRE,Mira,12/04/2015
1h08:53,POLESANA Federico,94,ANA ATL.FELTRE,Mira,12/04/2015
1h09:10,SACCHET Lucio,81,ANA ATL.FELTRE,Scorze,10/08/2013
1h09:10,SACCHET Lucio,81,ANA ATL.FELTRE,Scorze,10/08/2013
1h09:30,SACCHET Lucio,81,ANA ATL.FELTRE,Pordenone,08/10/2017
1h09:30,SACCHET Lucio,81,ANA ATL.FELTRE,Pordenone,08/10/2017
1h10:16,SACCHET Lucio,81,ANA ATL.FELTRE,Merano,27/04/2014
1h10:16,SACCHET Lucio,81,ANA ATL.FELTRE,Merano,27/04/2014
1h10:46,POLESANA Federico,94,ANA ATL.FELTRE,Verona,15/11/2015
1h10:46,POLESANA Federico,94,ANA ATL.FELTRE,Verona,15/11/2015
1h10:48,MINELLA Loris,86,ANA ATL.FELTRE,Palmanova,19/11/2017
1h10:48,MINELLA Loris,86,ANA ATL.FELTRE,Palmanova,19/11/2017
1h10:55,POLESANA Federico,94,ANA ATL.FELTRE,Cittadella,15/12/2019
1h10:55,POLESANA Federico,94,ANA ATL.FELTRE,Cittadella,15/12/2019
1h11:19,SACCHET Lucio,81,ANA ATL.FELTRE,Albarella,21/09/2014
1h11:19,SACCHET Lucio,81,ANA ATL.FELTRE,Albarella,21/09/2014
1h11:23,SACCHET Lucio,81,ANA ATL.FELTRE,Piacenza,03/05/2015
1h11:23,SACCHET Lucio,81,ANA ATL.FELTRE,Piacenza,03/05/2015
1h11:47,SACCHET Lucio,81,ANA ATL.FELTRE,Scorze,09/08/2014
1h11:47,SACCHET Lucio,81,ANA ATL.FELTRE,Scorze,09/08/2014
1h11:55,SPADA Nicola,85,ANA ATL.FELTRE,Treviso,11/10/2015
1h11:55,SPADA Nicola,85,ANA ATL.FELTRE,Treviso,11/10/2015
1h11:57,SACCHET Lucio,81,ANA ATL.FELTRE,Verona,16/02/2014
1h11:57,SACCHET Lucio,81,ANA ATL.FELTRE,Verona,16/02/2014
1h12:01,POLESANA Federico,94,ANA ATL.FELTRE,Milano,25/03/2018
1h12:01,POLESANA Federico,94,ANA ATL.FELTRE,Milano,25/03/2018
1h12:09,CECCHIN Simone,96,ANA ATL.FELTRE,Cittadella,17/12/2023
1h12:10,POLESANA Federico,94,ANA ATL.FELTRE,Pisa,08/10/2017
1h12:10,POLESANA Federico,94,ANA ATL.FELTRE,Pisa,08/10/2017
1h12:25,MINELLA Loris,86,ANA ATL.FELTRE,Pisa,08/10/2017
1h12:25,MINELLA Loris,86,ANA ATL.FELTRE,Pisa,08/10/2017
1h13:14,POLESANA Federico,94,ANA ATL.FELTRE,Verona,13/06/2021
1h13:14,POLESANA Federico,94,ANA ATL.FELTRE,Verona,13/06/2021
1h13:48,CECCHIN Simone,96,ANA ATL.FELTRE,Genova,16/04/2023
1h13:48,CECCHIN Simone,96,ANA ATL.FELTRE,Genova,16/04/2023
1h14:05,SACCHET Lucio,81,ANA ATL.FELTRE,Abano Terme,23/04/2017
1h14:05,SACCHET Lucio,81,ANA ATL.FELTRE,Abano Terme,23/04/2017
1h15:23,RECH Omar,87,ANA ATL.FELTRE,Riva Del Garda,18/11/2007
1h15:23,RECH Omar,87,ANA ATL.FELTRE,Riva Del Garda,18/11/2007
1h15:50,MAHJOUBI Abdelaziz,67,ANA ATL.FELTRE,Verona,15/02/2015
1h15:50,MAHJOUBI Abdelaziz,67,ANA ATL.FELTRE,Verona,15/02/2015
1h17:28,MAHJOUBI Abdelaziz,67,ANA ATL.FELTRE,Verona,12/02/2017
1h17:28,MAHJOUBI Abdelaziz,67,ANA ATL.FELTRE,Verona,12/02/2017
1h17:36,MAHJOUBI Abdelaziz,67,ANA ATL.FELTRE,Treviso,08/10/2017
1h17:36,MAHJOUBI Abdelaziz,67,ANA ATL.FELTRE,Treviso,08/10/2017
1h17:37,CECCHIN Simone,96,ANA ATL.FELTRE,Torino,26/03/2017
1h17:37,CECCHIN Simone,96,ANA ATL.FELTRE,Torino,26/03/2017
1h18:22,PAULETTI Michele,99,ANA ATL.FELTRE,Genova,16/04/2023
1h18:22,PAULETTI Michele,99,ANA ATL.FELTRE,Genova,16/04/2023
1h18:25,MINELLA Loris,86,ANA ATL.FELTRE,Cittadella,27/12/2015
1h18:25,MINELLA Loris,86,ANA ATL.FELTRE,Cittadella,27/12/2015
1h18:37,MAHJOUBI Abdelaziz,67,ANA ATL.FELTRE,Torino,26/03/2017
1h18:37,MAHJOUBI Abdelaziz,67,ANA ATL.FELTRE,Torino,26/03/2017
1h20:08,MAHJOUBI Abdelaziz,67,ANA ATL.FELTRE,Iesolo,25/05/2019
1h20:08,MAHJOUBI Abdelaziz,67,ANA ATL.FELTRE,Iesolo,25/05/2019
1h20:17,EBOLI Livio,77,ANA ATL.FELTRE,Cittadella,27/12/2015
1h20:17,EBOLI Livio,77,ANA ATL.FELTRE,Cittadella,27/12/2015
1h20:35,DALLA PALMA Davide,90,ANA ATL.FELTRE,Genova,16/04/2023
1h20:35,DALLA PALMA Davide,90,ANA ATL.FELTRE,Genova,16/04/2023
1h20:37,DALLA PALMA Davide,90,ANA ATL.FELTRE,Galzignano Terme,28/10/2017
1h20:37,DALLA PALMA Davide,90,ANA ATL.FELTRE,Galzignano Terme,28/10/2017
1h20:53,POLLONI Michele,91,ANA ATL.FELTRE,Trento,02/10/2022
1h20:53,POLLONI Michele,91,ANA ATL.FELTRE,Trento,02/10/2022
1h20:57,RIGA Stefano,91,ANA ATL.FELTRE,Vittorio Veneto,13/02/2011
1h20:57,RIGA Stefano,91,ANA ATL.FELTRE,Vittorio Veneto,13/02/2011
1h21:23,DALLA PALMA Davide,90,ANA ATL.FELTRE,Pisa,08/10/2017
1h21:23,DALLA PALMA Davide,90,ANA ATL.FELTRE,Pisa,08/10/2017
1h21:32,BEE Ivo,71,ANA ATL.FELTRE,Paese,09/11/2014
1h21:32,BEE Ivo,71,ANA ATL.FELTRE,Paese,09/11/2014
1h21:35,DALLA PALMA Davide,90,ANA ATL.FELTRE,Abano Terme,22/04/2018
1h21:35,DALLA PALMA Davide,90,ANA ATL.FELTRE,Abano Terme,22/04/2018
1h21:53,DALLA PALMA Davide,90,ANA ATL.FELTRE,Abano Terme,23/04/2017
1h21:53,DALLA PALMA Davide,90,ANA ATL.FELTRE,Abano Terme,23/04/2017
1h22:05,DE BORTOLI Isidoro,83,ANA ATL.FELTRE,Piacenza,03/05/2015
1h22:05,DE BORTOLI Isidoro,83,ANA ATL.FELTRE,Piacenza,03/05/2015
1h22:22,DALLA PALMA Davide,90,ANA ATL.FELTRE,Torino,26/03/2017
1h22:22,DALLA PALMA Davide,90,ANA ATL.FELTRE,Torino,26/03/2017
1h22:47,ALTIERI Ferdinando,71,ANA ATL.FELTRE,Conegliano,09/02/2014
1h22:47,ALTIERI Ferdinando,71,ANA ATL.FELTRE,Conegliano,09/02/2014
