Prest.,Atleta,Anno,Società,Città,Data
36.0,MANISCALCHI Stefano,90,ANA ATL.FELTRE,Belluno,18/10/2008
37.9,MANISCALCHI Stefano,90,ANA ATL.FELTRE,Belluno,17/10/2009
35.7,TIREL Enrico,93,ANA ATL.FELTRE,Belluno,16/10/2010
35.86,MANISCALCHI Stefano,90,ANA ATL.FELTRE,Conegliano,10/04/2010
37.3,MANISCALCHI Stefano,90,ANA ATL.FELTRE,Belluno,16/10/2010
36.3,ZANDOMENEGHI Marco,97,ANA ATL.FELTRE,Agordo,18/10/2014
37.2,VELLO Michele,97,ANA ATL.FELTRE,Agordo,18/10/2014
39.6,EL AOMARI Abderrahmane,78,ANA ATL.FELTRE,Agordo,18/10/2014
39.6,MAHJOUBI Amir mattia,00,ANA ATL.FELTRE,Agordo,15/10/2016
40.0,EL AOMARI Abderrahmane,78,ANA ATL.FELTRE,Agordo,15/10/2016
35.93,ZANDOMENEGHI Marco,97,ANA ATL.FELTRE,Rovereto,22/04/2017
35.9,ZANDOMENEGHI Marco,97,ANA ATL.FELTRE,Feltre,14/10/2017
36.1,VELLO Michele,97,ANA ATL.FELTRE,Feltre,14/10/2017
36.4,COSTA Edgard,99,ANA ATL.FELTRE,Feltre,14/10/2017
36.7,SIRAGNA Lorenzo,01,ANA ATL.FELTRE,Feltre,14/10/2017
36.8,DALLA SEGA Davide,99,ANA ATL.FELTRE,Feltre,14/10/2017
38.4,MAHJOUBI Amir mattia,00,ANA ATL.FELTRE,Feltre,14/10/2017
39.5,AGOSTINETTO Isacco,99,ANA ATL.FELTRE,Feltre,14/10/2017
40.6,EL AOMARI Abderrahmane,78,ANA ATL.FELTRE,Feltre,14/10/2017
41.7,ZUGLIAN Giorgio,00,ANA ATL.FELTRE,Feltre,14/10/2017
36.4,SIRAGNA Lorenzo,01,ANA ATL.FELTRE,Feltre,24/03/2018
36.5,ZANDOMENEGHI Marco,97,ANA ATL.FELTRE,Feltre,24/03/2018
37.1,ZABOT Julian,02,ANA ATL.FELTRE,Feltre,24/03/2018
38.5,MAHJOUBI Amir mattia,00,ANA ATL.FELTRE,Feltre,24/03/2018
35.30,SIRAGNA Lorenzo,01,ANA ATL.FELTRE,Rovereto,14/04/2019
36.4,ZIVOJINOVIC Milan,01,ANA ATL.FELTRE,Belluno,19/10/2019
36.6,ZABOT Julian,02,ANA ATL.FELTRE,Belluno,19/10/2019
37.25,ZANDOMENEGHI Marco,97,ANA ATL.FELTRE,Rovereto,14/04/2019
39.2,DE PAOLI Federico,02,ANA ATL.FELTRE,Belluno,19/10/2019
39.2,DALLA CORTE Matteo,01,ANA ATL.FELTRE,Belluno,19/10/2019
40.2,CRIVELLER Marco,03,ANA ATL.FELTRE,Belluno,19/10/2019
42.3,BRUSATI Alex,04,ANA ATL.FELTRE,Feltre,16/06/2021
42.4,EL AOMARI Abderrahmane,78,ANA ATL.FELTRE,Feltre,16/06/2021
44.4,FANTINEL Davide,05,ANA ATL.FELTRE,Feltre,16/06/2021
39.6,POLESANA Giacomo,05,ANA ATL.FELTRE,Feltre,13/04/2022
40.6,BRUSATI Alex,04,ANA ATL.FELTRE,Feltre,13/04/2022
49.2,MAZZOCCO Simone,06,ANA ATL.FELTRE,Feltre,13/04/2022
37.6,POLESANA Filippo,00,ANA ATL.FELTRE,Borgo Valbelluna,21/06/2023
43.0,EL AOMARI Abderrahmane,78,ANA ATL.FELTRE,Borgo Valbelluna,21/06/2023
