Prest.,Atleta,Anno,Società,Città,Data
55.35,TIREL Enrico,93,ANA ATL.FELTRE,Caorle,12/06/2011
55.42,TIREL Enrico,93,ANA ATL.FELTRE,Montebelluna,01/05/2011
55.44,TIREL Enrico,93,ANA ATL.FELTRE,Feltre,04/06/2011
53.00,TIREL Enrico,93,ANA ATL.FELTRE,Barcellona,11/07/2012
53.19,TIREL Enrico,93,ANA ATL.FELTRE,Misano Adriatico,17/06/2012
53.61,TIREL Enrico,93,ANA ATL.FELTRE,Bassano Del Grappa,16/09/2012
53.81,TIREL Enrico,93,ANA ATL.FELTRE,Cles,07/06/2012
54.04,TIREL Enrico,93,ANA ATL.FELTRE,Caorle,03/06/2012
54.14,TIREL Enrico,93,ANA ATL.FELTRE,Osimo,09/06/2012
54.45,TIREL Enrico,93,ANA ATL.FELTRE,Misano Adriatico,16/06/2012
54.46,TIREL Enrico,93,ANA ATL.FELTRE,Treviso,30/05/2012
55.09,TIREL Enrico,93,ANA ATL.FELTRE,Marcon,06/05/2012
56.33,TIREL Enrico,93,ANA ATL.FELTRE,Vicenza,20/05/2012
1:02.78,TONO Lorenzo,94,ANA ATL.FELTRE,Treviso,30/05/2012
1:04.25,TONO Lorenzo,94,ANA ATL.FELTRE,Vicenza,20/05/2012
59.42,COLLE Nicola,96,ANA ATL.FELTRE,Marcon,12/05/2013
59.81,TONO Lorenzo,94,ANA ATL.FELTRE,Marcon,12/05/2013
59.22,TONO Lorenzo,94,ANA ATL.FELTRE,Bassano,27/04/2014
59.27,TONO Lorenzo,94,ANA ATL.FELTRE,Vicenza,11/05/2014
1:00.29,TONO Lorenzo,94,ANA ATL.FELTRE,Vedelago,13/09/2014
1:01.64,MANISCALCHI Stefano,90,ANA ATL.FELTRE,Vicenza,11/05/2014
1:02.49,AGOSTINETTO Isacco,99,ANA ATL.FELTRE,Marcon,10/05/2015
58.25,BONAN Marco,00,ANA ATL.FELTRE,Bovolone,05/06/2016
58.81,AGOSTINETTO Isacco,99,ANA ATL.FELTRE,Bovolone,05/06/2016
59.94,AGOSTINETTO Isacco,99,ANA ATL.FELTRE,Vicenza,08/05/2016
1:00.38,AGOSTINETTO Isacco,99,ANA ATL.FELTRE,Agordo,22/05/2016
58.54,BONAN Marco,00,ANA ATL.FELTRE,Arzignano,24/09/2017
59.00,BONAN Marco,00,ANA ATL.FELTRE,Bussolengo,07/05/2017
59.34,ZANDOMENEGHI Marco,97,ANA ATL.FELTRE,Bussolengo,27/05/2018
1:04.43,ROLDO Demis,85,ANA ATL.FELTRE,Caorle,06/05/2018
58.71,ZANDOMENEGHI Marco,97,ANA ATL.FELTRE,Padova,25/04/2019
59.69,ZANDOMENEGHI Marco,97,ANA ATL.FELTRE,L'aquila,19/05/2019
1:00.14,ZANDOMENEGHI Marco,97,ANA ATL.FELTRE,San Biagio Di Callalta,12/05/2019
1:01.17,ZABOT Julian,02,ANA ATL.FELTRE,Padova,25/04/2019
58.94,DE PAOLI Federico,02,ANA ATL.FELTRE,Padova,15/05/2022
59.87,DE PAOLI Federico,02,ANA ATL.FELTRE,Padova,01/05/2022
1:00.83,DE PAOLI Federico,02,ANA ATL.FELTRE,San Biagio Di Callalta,02/07/2022
1:01.86,CECCHET Giovanni,06,ANA ATL.FELTRE,Padova,01/05/2022
1:02.81,CECCHET Giovanni,06,ANA ATL.FELTRE,Padova,15/05/2022
