Prest.,Atleta,Anno,Società,Città,Data
1.70,CANOVA Luca,91,ANA ATL.FELTRE,Rosa,15/06/2008
1.73,VIEL Davide,94,ANA ATL.FELTRE,Verona,30/05/2010
1.70,VIEL Davide,94,ANA ATL.FELTRE,Rossano Veneto,05/09/2010
1.60,VIEL Davide,94,ANA ATL.FELTRE,Saronno,27/06/2010
1.50,CALLEGARO Elia,93,ANA ATL.FELTRE,Mestre,09/05/2010
1.50,CALLEGARO Elia,93,ANA ATL.FELTRE,Verona,30/05/2010
1.88,VENDRAME Marco,95,ANA ATL.FELTRE,Rovigo,08/05/2011
1.86,VENDRAME Marco,95,ANA ATL.FELTRE,Padova,18/05/2011
1.85,VENDRAME Marco,95,ANA ATL.FELTRE,Montebelluna,01/05/2011
1.85,VENDRAME Marco,95,ANA ATL.FELTRE,Rieti,02/10/2011
1.84,VENDRAME Marco,95,ANA ATL.FELTRE,Verona,02/06/2011
1.84,VENDRAME Marco,95,ANA ATL.FELTRE,Feltre,27/08/2011
1.81,VENDRAME Marco,95,ANA ATL.FELTRE,Vicenza,22/05/2011
1.80,VENDRAME Marco,95,ANA ATL.FELTRE,Marcon,15/05/2011
1.80,VENDRAME Marco,95,ANA ATL.FELTRE,Vicenza,10/07/2011
1.80,VENDRAME Marco,95,ANA ATL.FELTRE,Vedelago,11/09/2011
1.78,VENDRAME Marco,95,ANA ATL.FELTRE,Saronno,12/06/2011
1.75,VENDRAME Marco,95,ANA ATL.FELTRE,Bassano Del Grappa,18/09/2011
1.30,VISCA Gianmarco,95,ANA ATL.FELTRE,Cervia,10/09/2011
1.94,TAMBURLIN Piero,96,ANA ATL.FELTRE,Marcon,06/05/2012
1.91,VENDRAME Marco,95,ANA ATL.FELTRE,Vicenza,27/05/2012
1.91,TAMBURLIN Piero,96,ANA ATL.FELTRE,Bastia Umbra,24/06/2012
1.89,TAMBURLIN Piero,96,ANA ATL.FELTRE,Vicenza,27/05/2012
1.85,TAMBURLIN Piero,96,ANA ATL.FELTRE,Feltre,21/06/2012
1.85,VENDRAME Marco,95,ANA ATL.FELTRE,Feltre,23/08/2012
1.83,VENDRAME Marco,95,ANA ATL.FELTRE,Rossano Veneto,02/09/2012
1.83,VENDRAME Marco,95,ANA ATL.FELTRE,Bassano Del Grappa,16/09/2012
1.81,TAMBURLIN Piero,96,ANA ATL.FELTRE,Feltre,23/08/2012
1.81,TAMBURLIN Piero,96,ANA ATL.FELTRE,Bassano Del Grappa,16/09/2012
1.80,TAMBURLIN Piero,96,ANA ATL.FELTRE,Treviso,22/04/2012
1.80,VENDRAME Marco,95,ANA ATL.FELTRE,Abano Terme,13/05/2012
1.80,TAMBURLIN Piero,96,ANA ATL.FELTRE,Abano Terme,13/05/2012
1.80,TAMBURLIN Piero,96,ANA ATL.FELTRE,Marcon,13/06/2012
1.80,TAMBURLIN Piero,96,ANA ATL.FELTRE,Firenze,29/09/2012
1.60,TAMBURLIN Piero,96,ANA ATL.FELTRE,Vicenza,20/05/2012
1.40,VENDRAME Marco,95,ANA ATL.FELTRE,Vicenza,20/05/2012
2.00,VENDRAME Marco,95,ANA ATL.FELTRE,Agordo,25/09/2013
1.97,TAMBURLIN Piero,96,ANA ATL.FELTRE,Vicenza,19/05/2013
1.97,VENDRAME Marco,95,ANA ATL.FELTRE,Gorizia,27/06/2013
1.97,VENDRAME Marco,95,ANA ATL.FELTRE,Gorizia,07/07/2013
1.95,TAMBURLIN Piero,96,ANA ATL.FELTRE,Montebelluna,05/05/2013
