Prest.,Atleta,Anno,Società,Città,Data
2.00,VENDRAME Marco,95,ANA ATL.FELTRE,Agordo,25/09/2013
1.97,TAMBURLIN Piero,96,ANA ATL.FELTRE,Vicenza,19/05/2013
1.90,VOICU Ioan alexandru,97,ANA ATL.FELTRE,Bovolone,05/06/2016
1.76,PHUSRIRIT Wikran,98,ANA ATL.FELTRE,Rosa,20/09/2015
1.73,VIEL Davide,94,ANA ATL.FELTRE,Verona,30/05/2010
1.70,CANOVA Luca,91,ANA ATL.FELTRE,Rosa,15/06/2008
1.70,HAROUF Omar,99,ANA ATL.FELTRE,Vicenza,03/05/2015
1.68,DA RIN DE MONEGO Lorenzo,00,ANA ATL.FELTRE,Vicenza,13/05/2016
1.60,CASSOL Samuele,01,ANA ATL.FELTRE,San Biagio Di Callalta,13/05/2018
1.56,SCOPEL Simone,06,ANA ATL.FELTRE,Lana,23/04/2022
1.50,CALLEGARO Elia,93,ANA ATL.FELTRE,Mestre,09/05/2010
