100 Hs H 76-8.50
Tempo,Vento,Atleta,Età,Società,Posizione,Luogo,Data
14.40,+0.4,SCOPEL Gioia,02,ANA ATL.FELTRE,7 fi- 1,Agropoli,23/06/2019
14.48,+0.0,SCOPEL Gioia,02,ANA ATL.FELTRE,2 se- 1,Treviso,29/05/2019
14.48,-1.3,SCOPEL Gioia,02,ANA ATL.FELTRE,1 ba- 8,Agropoli,23/06/2019
14.50,-0.7,SCOPEL Gioia,02,ANA ATL.FELTRE,2 se- 1,Vittorio Veneto,04/05/2019
14.63,+0.1,SCOPEL Gioia,02,ANA ATL.FELTRE,2 se- 1,Vicenza,18/05/2019
14.74,,SCOPEL Gioia,02,ANA ATL.FELTRE,1 se- 1,Padova,15/05/2019
14.91,+2.8,SCOPEL Gioia,02,ANA ATL.FELTRE,2 su- 1,Rosa',07/09/2019
16.18,-2.4,DE PAOLI Camilla,05,ANA ATL.FELTRE,1 se- 1,Cles,25/09/2021
16.41,-2.0,DE PAOLI Camilla,05,ANA ATL.FELTRE,2 se- 2,San Biagio Di Callalta,03/07/2021
16.54,-0.8,DE PAOLI Camilla,05,ANA ATL.FELTRE,1 se- 2,Vicenza,08/05/2021
16.77,+0.5,DE PAOLI Camilla,05,ANA ATL.FELTRE,1 se- 2,Padova,22/05/2021
16.91,+0.3,DE PAOLI Camilla,05,ANA ATL.FELTRE,3 su- 1,Majano,25/04/2021
15.89,-0.4,DE PAOLI Camilla,05,ANA ATL.FELTRE,2 su- 1,Bolzano,02/06/2022
