60 Hs H 84-8.50
Tempo,Vento,Atleta,Età,Società,Posizione,Luogo,Data
8.79,,SCOPEL Gioia,02,ANA ATL.FELTRE,1 fi- 1,Padova,26/01/2020
8.86,,SCOPEL Gioia,02,ANA ATL.FELTRE,1 ba- 1,Ancona,09/02/2020
8.87,,SCOPEL Gioia,02,ANA ATL.FELTRE,4 fi- 1,Padova,18/01/2020
8.87,,SCOPEL Gioia,02,ANA ATL.FELTRE,4 sf- 1,Ancona,09/02/2020
8.88,,SCOPEL Gioia,02,ANA ATL.FELTRE,7 ba- 2,Ancona,22/02/2020
8.91,,SCOPEL Gioia,02,ANA ATL.FELTRE,3 fi- 1,Padova,13/02/2021
8.92,,SCOPEL Gioia,02,ANA ATL.FELTRE,2 ba- 1,Padova,18/01/2020
8.92,,SCOPEL Gioia,02,ANA ATL.FELTRE,4 ba- 1,Padova,13/02/2021
8.95,,SCOPEL Gioia,02,ANA ATL.FELTRE,4 fi- 1,Ancona,09/02/2020
8.96,,SCOPEL Gioia,02,ANA ATL.FELTRE,3 ba- 3,Ancona,07/02/2021
8.97,,SCOPEL Gioia,02,ANA ATL.FELTRE,1 ba- 2,Padova,26/01/2020
8.98,,SCOPEL Gioia,02,ANA ATL.FELTRE,1 ba- 3,Padova,04/01/2020
9.02,,SCOPEL Gioia,02,ANA ATL.FELTRE,7 fi- 1,Padova,29/01/2022
9.05,,SCOPEL Gioia,02,ANA ATL.FELTRE,2 fi- 1,Padova,04/01/2020
9.10,,SCOPEL Gioia,02,ANA ATL.FELTRE,7 se- 1,Padova,23/01/2021
9.16,,SCOPEL Gioia,02,ANA ATL.FELTRE,6 ba- 2,Ancona,06/02/2022
9.17,,SCOPEL Gioia,02,ANA ATL.FELTRE,6 ba- 1,Padova,29/01/2022
9.26,,SCOPEL Gioia,02,ANA ATL.FELTRE,7 ba- 1,Padova,31/01/2021
13.17,,DE BACCO Paola,02,ANA ATL.FELTRE,7 ba- 3,Padova,18/01/2020
13.44,,DE BACCO Paola,02,ANA ATL.FELTRE,6 ba- 1,Padova,10/02/2019
