1 Miglio
Tempo,Vento,Atleta,Età,Società,Posizione,Luogo,Data
4:19.38,,SPANU Matteo,96,ATLETICA MALIGNANI LIBERTAS UD,1 su- 1,Tolmezzo,21/05/2023
4:23.39,,SIGISMONDI Andrea,84,BERGAMO STARS ATLETICA,1 se- 3,Bergamo,13/06/2023
4:26.83,,FERRARIS Luigi,79,G. ALPINISTICO VERTOVESE,2 se- 3,Bergamo,13/06/2023
4:30.98,,GALVANI Martino,01,DAINI CARATE BRIANZA,1 se- 8,Brescia,01/07/2023
4:32.91,,PEDRETTI Ludovico,91,ATL. PAVESE,1 se- 7,Voghera,01/04/2023
4:33.16,,RIZZO Mattia,85,ATLETICA EDILMARKET SANDRIN,2 su- 1,Tolmezzo,21/05/2023
4:33.25,,BIAVASCHI Gabriele,02,G.P. VALCHIAVENNA,2 se- 8,Brescia,01/07/2023
4:33.85,,NADALUTTI Francesco,79,ATLETICA EDILMARKET SANDRIN,3 su- 1,Tolmezzo,21/05/2023
4:34.07,,PRADO PAVANETTO Marco,03,ATL. IRIENSE VOGHERA,2 se- 7,Voghera,01/04/2023
4:34.58,,NESOSSI Gianluca,01,G.P. VALCHIAVENNA,3 se- 8,Brescia,01/07/2023
,(10)/2023
4:35.72,,TOMERA Lorenzo,06,G.P. VALCHIAVENNA,4 se- 8,Brescia,01/07/2023
4:37.72,,FERRARIO Gabriele,01,SEZ. ATL. ORATORIO CORNAREDO,1 se- 9,Milano,11/03/2023
4:39.57,,CIAPONI Daniele,06,G.P. TALAMONA,2 se- 9,Milano,11/03/2023
4:39.57,,PATATTI Igor,83,TRIESTE ATLETICA,4 su- 1,Tolmezzo,21/05/2023
4:39.82,,TAINO Geremia,02,ATL. CASONE NOCETO,1 se- 8,Codogno,03/06/2023
4:39.85,,COPERCINI Andrea,02,CREMONA SPORTIVA ATL. ARVEDI,1 se- 9,Pioltello,25/03/2023
4:40.50,,RIZZI Giovanni,93,ATLETICA PRO CANOSA,1 se- 8,Pioltello,27/05/2023
4:40.72,,ALIMONTI Gualtiero,84,G. ALPINISTICO VERTOVESE,3 se- 3,Bergamo,13/06/2023
4:40.84,,CIAPONI Daniele,06,G.P. TALAMONA,2 se- 9,Pioltello,25/03/2023
4:41.19,,BETTINI Nicola,95,ATL. GAVARDO '90 LIB.,5 se- 8,Brescia,01/07/2023
,(20)/2023
4:42.15,,SPOSATO Alessio,95,ATL. U.S. NERVIANESE 1919,2 se- 8,Codogno,03/06/2023
4:43.37,,SPOSATO Alessio,95,ATL. U.S. NERVIANESE 1919,2 se- 8,Pioltello,27/05/2023
4:43.83,,VARNER Leonardo,02,C.S.S. LEONARDO DA VINCI,1 se- 9,Vignate,20/05/2023
4:43.95,,TOMERA Lorenzo,06,G.P. VALCHIAVENNA,3 se- 9,Milano,11/03/2023
4:44.25,,SPOSATO Alessio,95,ATL. U.S. NERVIANESE 1919,6 se- 8,Brescia,01/07/2023
4:47.14,,SPOSATO Alessio,95,ATL. U.S. NERVIANESE 1919,2 se- 9,Vignate,20/05/2023
