80 Hs H 76-7.00
Tempo,Vento,Atleta,Età,Società,Posizione,Luogo,Data
15.35,-0.2,LA CAMERA Vincenzo,46,ATL. NOVESE,1 se- 2,Campi Bisenzio,28/05/2023
15.95,-0.2,DELLEDONNE Andrea,49,ATL. AMBROSIANA,1 se- 2,Campi Bisenzio,28/05/2023
18.75,-0.2,CASO Antonio,50,ASD ARCA ATL.AVERSA A.AVERSANO,2 se- 2,Campi Bisenzio,28/05/2023
20.11,,VALLE Gabriele,51,SHARDANA ASD,1 su- 1,Sassari,22/04/2023
21.03,-0.2,GRAZIANI Wladimiro,51,UNIONE SPORTIVA ALBATESE ASD,3 se- 2,Campi Bisenzio,28/05/2023
21.49,-0.5,GAETA Antonio fausto,47,O.S.O. OLD STARS OSTIA,1 su- 1,Acireale,23/06/2023
15.35,-0.2,LA CAMERA Vincenzo,46,ATL. NOVESE,1 se- 2,Campi Bisenzio,28/05/2023
15.95,-0.2,DELLEDONNE Andrea,49,ATL. AMBROSIANA,1 se- 2,Campi Bisenzio,28/05/2023
18.75,-0.2,CASO Antonio,50,ASD ARCA ATL.AVERSA A.AVERSANO,2 se- 2,Campi Bisenzio,28/05/2023
20.11,,VALLE Gabriele,51,SHARDANA ASD,1 su- 1,Sassari,22/04/2023
21.03,-0.2,GRAZIANI Wladimiro,51,UNIONE SPORTIVA ALBATESE ASD,3 se- 2,Campi Bisenzio,28/05/2023
21.49,-0.5,GAETA Antonio fausto,47,O.S.O. OLD STARS OSTIA,1 su- 1,Acireale,23/06/2023
15.35,-0.2,LA CAMERA Vincenzo,46,ATL. NOVESE,1 se- 2,Campi Bisenzio,28/05/2023
15.95,-0.2,DELLEDONNE Andrea,49,ATL. AMBROSIANA,1 se- 2,Campi Bisenzio,28/05/2023
18.75,-0.2,CASO Antonio,50,ASD ARCA ATL.AVERSA A.AVERSANO,2 se- 2,Campi Bisenzio,28/05/2023
20.11,,VALLE Gabriele,51,SHARDANA ASD,1 su- 1,Sassari,22/04/2023
21.03,-0.2,GRAZIANI Wladimiro,51,UNIONE SPORTIVA ALBATESE ASD,3 se- 2,Campi Bisenzio,28/05/2023
21.49,-0.5,GAETA Antonio fausto,47,O.S.O. OLD STARS OSTIA,1 su- 1,Acireale,23/06/2023
15.35,-0.2,LA CAMERA Vincenzo,46,ATL. NOVESE,1 se- 2,Campi Bisenzio,28/05/2023
15.95,-0.2,DELLEDONNE Andrea,49,ATL. AMBROSIANA,1 se- 2,Campi Bisenzio,28/05/2023
18.75,-0.2,CASO Antonio,50,ASD ARCA ATL.AVERSA A.AVERSANO,2 se- 2,Campi Bisenzio,28/05/2023
20.11,,VALLE Gabriele,51,SHARDANA ASD,1 su- 1,Sassari,22/04/2023
21.03,-0.2,GRAZIANI Wladimiro,51,UNIONE SPORTIVA ALBATESE ASD,3 se- 2,Campi Bisenzio,28/05/2023
21.49,-0.5,GAETA Antonio fausto,47,O.S.O. OLD STARS OSTIA,1 su- 1,Acireale,23/06/2023
15.35,-0.2,LA CAMERA Vincenzo,46,ATL. NOVESE,1 se- 2,Campi Bisenzio,28/05/2023
15.95,-0.2,DELLEDONNE Andrea,49,ATL. AMBROSIANA,1 se- 2,Campi Bisenzio,28/05/2023
18.75,-0.2,CASO Antonio,50,ASD ARCA ATL.AVERSA A.AVERSANO,2 se- 2,Campi Bisenzio,28/05/2023
20.11,,VALLE Gabriele,51,SHARDANA ASD,1 su- 1,Sassari,22/04/2023
21.03,-0.2,GRAZIANI Wladimiro,51,UNIONE SPORTIVA ALBATESE ASD,3 se- 2,Campi Bisenzio,28/05/2023
21.49,-0.5,GAETA Antonio fausto,47,O.S.O. OLD STARS OSTIA,1 su- 1,Acireale,23/06/2023
