Prest.,Atleta,Anno,Società,Città,Data
47.25,GALLETTI Luca,80,C.S. CARABINIERI SEZ. ATLETICA,Genova Palasport,30/01/2005
47.39,GALLETTI Luca,80,C.S. CARABINIERI SEZ. ATLETICA,Genova Palasport,09/02/2005
47.53,AMANFU Jens yao,80,A.S. LA FRATELLANZA 1874,Genova Palasport,09/02/2005
47.54,SALVUCCI Marco,76,C.S. CARABINIERI SEZ. ATLETICA,Genova Palasport,09/02/2005
47.56,LICCIARDELLO Claudio,86,A.S. DIL. LIBERTAS CATANIA,Genova,05/02/2005
47.88,CARABELLI Gianni,79,C.S. CARABINIERI SEZ. ATLETICA,Ancona,19/02/2005
47.89,USAI Pietro,81,C.S. ESERCITO,Genova Palasport,09/02/2005
47.91,GALLETTI Luca,80,C.S. CARABINIERI SEZ. ATLETICA,Ancona,13/02/2005
47.91,GALLETTI Luca,80,C.S. CARABINIERI SEZ. ATLETICA,Ancona,13/02/2005
47.94,MORAGLIO Marco,83,C.S. AERONAUTICA MILITARE,Genova,05/02/2005
47.94,SALVUCCI Marco,76,C.S. CARABINIERI SEZ. ATLETICA,Ancona,13/02/2005
47.94,SALVUCCI Marco,76,C.S. CARABINIERI SEZ. ATLETICA,Ancona,13/02/2005
47.94,VALLET Edoardo,77,G.S. FIAMME ORO PADOVA,Ancona,19/02/2005
47.99,CARABELLI Gianni,79,C.S. CARABINIERI SEZ. ATLETICA,Genova Palasport,09/02/2005
48.00,VALLET Edoardo,77,G.S. FIAMME ORO PADOVA,Genova Palasport,12/02/2005
48.02,CARABELLI Gianni,79,C.S. CARABINIERI SEZ. ATLETICA,Ancona,19/02/2005
48.08,GALLETTI Luca,80,C.S. CARABINIERI SEZ. ATLETICA,Ancona,19/02/2005
48.29,FUCCILLO Lucio,79,G.A. FIAMME GIALLE,Genova Palasport,09/02/2005
48.30,PIROVANO Walter,75,G.S. FIAMME ORO PADOVA,Genova Palasport,09/02/2005
48.31,CARABELLI Gianni,79,C.S. CARABINIERI SEZ. ATLETICA,Genova Palasport,30/01/2005
48.37,VALLET Edoardo,77,G.S. FIAMME ORO PADOVA,Ancona,19/02/2005
48.38,SALVUCCI Marco,76,C.S. CARABINIERI SEZ. ATLETICA,Ancona,19/02/2005
48.45,FUCCILLO Lucio,79,G.A. FIAMME GIALLE,Ancona,19/02/2005
48.54,SALVUCCI Marco,76,C.S. CARABINIERI SEZ. ATLETICA,Glasgow,29/01/2005
48.56,SALVUCCI Marco,76,C.S. CARABINIERI SEZ. ATLETICA,Ancona,19/02/2005
48.58,AGUZZI Stefano,81,ATL.  CENTO TORRI PAVIA,Ancona,19/02/2005
48.59,FUCCILLO Lucio,79,G.A. FIAMME GIALLE,Ancona,19/02/2005
48.61,RAO Domenico,77,C.S. CARABINIERI SEZ. ATLETICA,Genova Palasport,09/02/2005
48.75,MORAGLIO Marco,83,C.S. AERONAUTICA MILITARE,Ancona,19/02/2005
48.75,BRACIOLA Stefano,75,SPORT CLUB CATANIA A.S.D.,Ancona,19/02/2005
48.85,MORAGLIO Marco,83,C.S. AERONAUTICA MILITARE,Genova,05/02/2005
48.86,MARSADRI Marco,81,C.S. AERONAUTICA MILITARE,Genova Palasport,09/02/2005
48.87,GALLETTI Luca,80,C.S. CARABINIERI SEZ. ATLETICA,Ancona,19/02/2005
48.91,RAO Domenico,77,C.S. CARABINIERI SEZ. ATLETICA,Ancona,13/02/2005
48.91,RAO Domenico,77,C.S. CARABINIERI SEZ. ATLETICA,Ancona,13/02/2005
48.99,BAGATTINI Fabio,78,C.S. CARABINIERI SEZ. ATLETICA,Genova Palasport,09/02/2005
48.99,CEJAS RODRIGUEZ Osmel,74,NOTA BENE ATL. FUTURA ROMA,Ancona,15/02/2005
49.06,GIORGI Alessandro,77,C.S. AERONAUTICA MILITARE,Ancona,13/02/2005
49.06,GIORGI Alessandro,77,C.S. AERONAUTICA MILITARE,Ancona,13/02/2005
49.08,LEONE Gian marco,84,PRO SESTO ATL.,Genova Palasport,12/02/2005
49.09,PIROVANO Walter,75,G.S. FIAMME ORO PADOVA,Ancona,19/02/2005
49.09,CUNDO' Francesco,74,C.U.S. GENOVA,Ancona,19/02/2005
49.13,MULASSANO Giovanni,85,A.S.D. ATL. MONDOVI',Genova Palasport,12/02/2005
