Prest.,Atleta,Anno,Società,Città,Data
9.28,SCOPEL Gioia,02,ANA ATL.FELTRE,Ancona,11/02/2018
9.36,SCOPEL Gioia,02,ANA ATL.FELTRE,Padova,03/02/2018
9.42,SCOPEL Gioia,02,ANA ATL.FELTRE,Padova,21/01/2018
9.42,SCOPEL Gioia,02,ANA ATL.FELTRE,Padova,03/02/2018
9.85,DE CARLI Alessandra,01,ANA ATL.FELTRE,Padova,03/02/2018
10.29,DE CARLI Alessandra,01,ANA ATL.FELTRE,Padova,21/01/2018
11.77,DALLA CORTE Giada,01,ANA ATL.FELTRE,Padova,21/01/2018
8.77,SCOPEL Gioia,02,ANA ATL.FELTRE,Ancona,10/02/2019
8.89,SCOPEL Gioia,02,ANA ATL.FELTRE,Modena,26/01/2019
8.93,SCOPEL Gioia,02,ANA ATL.FELTRE,Modena,26/01/2019
8.95,SCOPEL Gioia,02,ANA ATL.FELTRE,Padova,05/01/2019
9.00,SCOPEL Gioia,02,ANA ATL.FELTRE,Ancona,10/02/2019
9.02,SCOPEL Gioia,02,ANA ATL.FELTRE,Padova,05/01/2019
9.19,SCOPEL Gioia,02,ANA ATL.FELTRE,Padova,20/01/2019
12.89,DE BACCO Paola,02,ANA ATL.FELTRE,Padova,20/01/2019
11.04,CASSOL Anita,05,ANA ATL.FELTRE,Padova,06/02/2021
9.28,SCOPEL Gioia,02,ANA ATL.FELTRE,Ancona,11/02/2018
9.36,SCOPEL Gioia,02,ANA ATL.FELTRE,Padova,03/02/2018
9.42,SCOPEL Gioia,02,ANA ATL.FELTRE,Padova,21/01/2018
9.42,SCOPEL Gioia,02,ANA ATL.FELTRE,Padova,03/02/2018
9.85,DE CARLI Alessandra,01,ANA ATL.FELTRE,Padova,03/02/2018
10.29,DE CARLI Alessandra,01,ANA ATL.FELTRE,Padova,21/01/2018
11.77,DALLA CORTE Giada,01,ANA ATL.FELTRE,Padova,21/01/2018
8.77,SCOPEL Gioia,02,ANA ATL.FELTRE,Ancona,10/02/2019
8.89,SCOPEL Gioia,02,ANA ATL.FELTRE,Modena,26/01/2019
8.93,SCOPEL Gioia,02,ANA ATL.FELTRE,Modena,26/01/2019
8.95,SCOPEL Gioia,02,ANA ATL.FELTRE,Padova,05/01/2019
9.00,SCOPEL Gioia,02,ANA ATL.FELTRE,Ancona,10/02/2019
9.02,SCOPEL Gioia,02,ANA ATL.FELTRE,Padova,05/01/2019
9.19,SCOPEL Gioia,02,ANA ATL.FELTRE,Padova,20/01/2019
12.89,DE BACCO Paola,02,ANA ATL.FELTRE,Padova,20/01/2019
11.04,CASSOL Anita,05,ANA ATL.FELTRE,Padova,06/02/2021
