Prest.,Atleta,Anno,Società,Città,Data
29.95,SCOPEL Diletta,04,ANA ATL.FELTRE,Cles,10/09/2022
29.95,SCOPEL Diletta,04,ANA ATL.FELTRE,Cles,10/09/2022
29.11,SCOPEL Diletta,04,ANA ATL.FELTRE,Cles,26/09/2021
29.11,SCOPEL Diletta,04,ANA ATL.FELTRE,Cles,26/09/2021
28.56,SCOPEL Diletta,04,ANA ATL.FELTRE,Padova,23/05/2021
28.56,SCOPEL Diletta,04,ANA ATL.FELTRE,Padova,23/05/2021
28.45,SCOPEL Diletta,04,ANA ATL.FELTRE,San Biagio Di Callalta,29/04/2023
28.45,SCOPEL Diletta,04,ANA ATL.FELTRE,San Biagio Di Callalta,29/04/2023
28.26,SCOPEL Diletta,04,ANA ATL.FELTRE,Padova,14/05/2023
28.26,SCOPEL Diletta,04,ANA ATL.FELTRE,Padova,14/05/2023
28.17,SCOPEL Diletta,04,ANA ATL.FELTRE,Verona,02/06/2023
28.17,SCOPEL Diletta,04,ANA ATL.FELTRE,Verona,02/06/2023
27.79,SCOPEL Diletta,04,ANA ATL.FELTRE,Conegliano,05/02/2023
27.79,SCOPEL Diletta,04,ANA ATL.FELTRE,Conegliano,05/02/2023
27.60,SCOPEL Diletta,04,ANA ATL.FELTRE,San Biagio Di Callalta,02/07/2022
27.60,SCOPEL Diletta,04,ANA ATL.FELTRE,San Biagio Di Callalta,02/07/2022
27.29,FERRACIN Giulia,07,ANA ATL.FELTRE,Borgo Valbelluna,07/05/2023
27.29,FERRACIN Giulia,07,ANA ATL.FELTRE,Borgo Valbelluna,07/05/2023
27.24,SCOPEL Diletta,04,ANA ATL.FELTRE,Padova,15/05/2022
27.24,SCOPEL Diletta,04,ANA ATL.FELTRE,Padova,15/05/2022
26.94,SCOPEL Diletta,04,ANA ATL.FELTRE,Verona,12/09/2021
26.94,SCOPEL Diletta,04,ANA ATL.FELTRE,Verona,12/09/2021
26.56,SCOPEL Diletta,04,ANA ATL.FELTRE,Vicenza,16/05/2021
26.56,SCOPEL Diletta,04,ANA ATL.FELTRE,Vicenza,16/05/2021
26.49,SCOPEL Diletta,04,ANA ATL.FELTRE,Vittorio Veneto,29/05/2022
26.49,SCOPEL Diletta,04,ANA ATL.FELTRE,Vittorio Veneto,29/05/2022
25.45,FERRACIN Giulia,07,ANA ATL.FELTRE,Padova,14/05/2023
25.45,FERRACIN Giulia,07,ANA ATL.FELTRE,Padova,14/05/2023
25.38,SCOPEL Diletta,04,ANA ATL.FELTRE,San Biagio Di Callalta,03/07/2021
25.38,SCOPEL Diletta,04,ANA ATL.FELTRE,San Biagio Di Callalta,03/07/2021
25.21,FERRACIN Giulia,07,ANA ATL.FELTRE,Conegliano,05/02/2023
25.21,FERRACIN Giulia,07,ANA ATL.FELTRE,Conegliano,05/02/2023
24.80,CESCATO Beatrice,93,ANA ATL.FELTRE,Marcon,10/05/2015
24.80,CESCATO Beatrice,93,ANA ATL.FELTRE,Marcon,10/05/2015
24.15,CESCATO Beatrice,93,ANA ATL.FELTRE,Mogliano Veneto,20/09/2009
24.15,CESCATO Beatrice,93,ANA ATL.FELTRE,Mogliano Veneto,20/09/2009
23.97,FERRACIN Giulia,07,ANA ATL.FELTRE,Verona,02/06/2023
23.97,FERRACIN Giulia,07,ANA ATL.FELTRE,Verona,02/06/2023
23.16,SAIONI Chiara,94,ANA ATL.FELTRE,Vicenza,20/05/2012
23.16,SAIONI Chiara,94,ANA ATL.FELTRE,Vicenza,20/05/2012
21.91,SAIONI Chiara,94,ANA ATL.FELTRE,Verona,30/05/2010
21.91,SAIONI Chiara,94,ANA ATL.FELTRE,Verona,30/05/2010
21.80,SAIONI Chiara,94,ANA ATL.FELTRE,Vicenza,22/05/2011
21.80,SAIONI Chiara,94,ANA ATL.FELTRE,Vicenza,22/05/2011
21.39,CESCATO Beatrice,93,ANA ATL.FELTRE,Mogliano Veneto,19/09/2010
21.39,CESCATO Beatrice,93,ANA ATL.FELTRE,Mogliano Veneto,19/09/2010
20.80,CESCATO Beatrice,93,ANA ATL.FELTRE,Mestre,09/05/2010
20.80,CESCATO Beatrice,93,ANA ATL.FELTRE,Mestre,09/05/2010
20.71,SAIONI Chiara,94,ANA ATL.FELTRE,Bastia Umbra,12/06/2011
20.71,SAIONI Chiara,94,ANA ATL.FELTRE,Bastia Umbra,12/06/2011
20.09,MARCHESE Martina,94,ANA ATL.FELTRE,Vicenza,20/05/2012
20.09,MARCHESE Martina,94,ANA ATL.FELTRE,Vicenza,20/05/2012
19.42,SAIONI Chiara,94,ANA ATL.FELTRE,Mogliano Veneto,19/09/2010
19.42,SAIONI Chiara,94,ANA ATL.FELTRE,Mogliano Veneto,19/09/2010
19.07,DAL CANTON Anna,01,ANA ATL.FELTRE,San Biagio Di Callalta,13/05/2018
19.07,DAL CANTON Anna,01,ANA ATL.FELTRE,San Biagio Di Callalta,13/05/2018
19.04,MARCHESE Martina,94,ANA ATL.FELTRE,Vicenza,22/05/2011
19.04,MARCHESE Martina,94,ANA ATL.FELTRE,Vicenza,22/05/2011
18.26,SPADA Stefania,98,ANA ATL.FELTRE,Vicenza,03/05/2015
18.26,SPADA Stefania,98,ANA ATL.FELTRE,Vicenza,03/05/2015
17.73,SAIONI Chiara,94,ANA ATL.FELTRE,Mestre,09/05/2010
17.73,SAIONI Chiara,94,ANA ATL.FELTRE,Mestre,09/05/2010
16.45,TAMBURLIN Anna,00,ANA ATL.FELTRE,Vicenza,14/05/2017
16.45,TAMBURLIN Anna,00,ANA ATL.FELTRE,Vicenza,14/05/2017
7.58,MARCHESE Martina,94,ANA ATL.FELTRE,Rovigo,08/05/2011
7.58,MARCHESE Martina,94,ANA ATL.FELTRE,Rovigo,08/05/2011
