Prest.,Atleta,Anno,Società,Città,Data
3h58:58,DE GOL Lorena,73,ANA ATL.FELTRE,Milano,06/04/2014
3h55:29,BOITO Chiara,75,ANA ATL.FELTRE,Firenze,27/11/2016
3h58:51,TONIOLO Maria,59,ANA ATL.FELTRE,Firenze,26/11/2017
3h58:51,D'INCA' Nicoletta,67,ANA ATL.FELTRE,Firenze,26/11/2017
3h29:55,MACCAGNAN Rossella susanna,86,ANA ATL.FELTRE,Verona,21/11/2021
3h58:58,DE GOL Lorena,73,ANA ATL.FELTRE,Milano,06/04/2014
3h55:29,BOITO Chiara,75,ANA ATL.FELTRE,Firenze,27/11/2016
3h58:51,TONIOLO Maria,59,ANA ATL.FELTRE,Firenze,26/11/2017
3h58:51,D'INCA' Nicoletta,67,ANA ATL.FELTRE,Firenze,26/11/2017
3h29:55,MACCAGNAN Rossella susanna,86,ANA ATL.FELTRE,Verona,21/11/2021
