Prest.,Atleta,Anno,Società,Città,Data
2:14.89,FANTINEL Ilaria,98,ANA ATL.FELTRE,Trento,19/07/2016
2:14.9,D'ALBERTO Arianna,00,ANA ATL.FELTRE,Domegge Di Cadore,21/08/2021
2:19.79,BOTTEGA Samantha,94,ANA ATL.FELTRE,Pergine Valsugana,03/08/2014
2:19.84,ROSSA Marilena,02,ANA ATL.FELTRE,Grosseto,11/06/2021
2:20.67,PAGANIN Agnese,03,ANA ATL.FELTRE,Padova,22/05/2021
2:21.3,DAL PONT Rossella,88,ANA ATL.FELTRE,Puos D Alpago,11/06/2005
2:22.89,ZAETTA Chiara,92,ANA ATL.FELTRE,Feltre,26/05/2010
2:25.13,CORRENT Chiara,99,ANA ATL.FELTRE,Trento,19/07/2016
2:26.30,CHIESURIN Gioia,01,ANA ATL.FELTRE,Venezia,30/05/2021
2:28.62,COLUSSI Leila,06,ANA ATL.FELTRE,Feltre,08/06/2022
2:30.43,BEE Nicole,91,ANA ATL.FELTRE,Caorle,28/05/2023
2:30.73,ROSSA Elena,04,ANA ATL.FELTRE,Vittorio Veneto,29/05/2022
2:34.64,DE SIMOI Genny,78,ANA ATL.FELTRE,Borgo Valbelluna,06/06/2023
2:34.9,DUCATI Marianna,85,ANA ATL.FELTRE,Feltre,23/08/2012
2:35.31,PERENZIN Alice,87,ANA ATL.FELTRE,Piombino Dese,06/07/2005
2:38.34,DALLA ROSA Silvia,93,ANA ATL.FELTRE,Trento,31/07/2012
2:38.47,FANTINEL Sara,05,ANA ATL.FELTRE,Trento,19/07/2022
2:38.68,STACH Marta,95,ANA ATL.FELTRE,Vicenza,27/05/2012
2:42.31,MENEGAZZO Silvia,07,ANA ATL.FELTRE,Borgo Valbelluna,06/06/2023
3:06.27,ZABOT Gigliola,73,ANA ATL.FELTRE,Borgo Valbelluna,06/06/2023
3:14.44,LAKHDAR Nouhalia,96,ANA ATL.FELTRE,Abano Terme,13/05/2012
