Prest.,Atleta,Anno,Società,Città,Data
1h22:39,TONIN Francesca,94,ANA ATL.FELTRE,Cittadella,17/12/2017
1h27:56,SCHIEVENIN Federica,83,ANA ATL.FELTRE,Cittadella,27/12/2015
1h32:41,MENEGAT Francesca,95,ANA ATL.FELTRE,Verona,17/11/2019
1h33:10,DE SIMOI Genny,78,ANA ATL.FELTRE,Treviso,08/10/2023
1h36:34,VOLKOVA Svetlana,88,ANA ATL.FELTRE,Iesolo,25/05/2019
1h36:57,MACCAGNAN Rossella susanna,86,ANA ATL.FELTRE,San Biagio Di Callalta,07/11/2021
1h37:08,ZABOT Gigliola,73,ANA ATL.FELTRE,Riva Del Garda,08/11/2015
1h40:16,DALLA BALLA Marta,97,ANA ATL.FELTRE,Reggio Nell'emilia,26/03/2023
1h40:42,ARBOIT Diletta,96,ANA ATL.FELTRE,Jesolo,26/06/2021
1h46:57,ZULLIAN Anna,81,ANA ATL.FELTRE,Treviso,14/10/2018
1h48:13,TONIOLO Maria,59,ANA ATL.FELTRE,Pordenone,30/09/2018
1h50:31,LOAT Cinzia,75,ANA ATL.FELTRE,Palmanova,27/11/2022
1h52:32,DEON Nadia,65,ANA ATL.FELTRE,Palermo,19/11/2017
1h54:00,D'INCA' Nicoletta,67,ANA ATL.FELTRE,Treviso,08/10/2017
1h56:01,SCHIEVENIN Magali,68,ANA ATL.FELTRE,Lignano Sabbiadoro,11/06/2016
2h03:48,FAVARETTO Paola,64,ANA ATL.FELTRE,Verona,15/11/2015
2h03:48,FRANZOIA Emanuela,70,ANA ATL.FELTRE,Verona,15/11/2015
2h07:40,FAJETI Fausta,61,ANA ATL.FELTRE,Bibione,06/05/2018
2h34:43,ZAETTA Serena,79,ANA ATL.FELTRE,Verona,14/02/2016
