Prest.,Atleta,Anno,Società,Città,Data
5.68,BIESUZ Enrico,02,ANA ATL.FELTRE,Padova,04/02/2018
4.61,GRIS Matteo,02,ANA ATL.FELTRE,Padova,04/02/2018
5.23,MILOSEVIC Petar,03,ANA ATL.FELTRE,Padova,26/01/2020
6.19,ZIVOJINOVIC Milan,01,ANA ATL.FELTRE,Padova,16/01/2021
5.11,DALLA CORTE Matteo,01,ANA ATL.FELTRE,Padova,12/02/2022
4.79,DALLA CORTE Matteo,01,ANA ATL.FELTRE,Padova,09/01/2022
6.10,ARGENTA Alessio,06,ANA ATL.FELTRE,Padova,04/02/2023
5.98,ARGENTA Alessio,06,ANA ATL.FELTRE,Parma,22/01/2023
5.74,ARGENTA Alessio,06,ANA ATL.FELTRE,Padova,15/01/2023
5.68,BIESUZ Enrico,02,ANA ATL.FELTRE,Padova,04/02/2018
4.61,GRIS Matteo,02,ANA ATL.FELTRE,Padova,04/02/2018
5.23,MILOSEVIC Petar,03,ANA ATL.FELTRE,Padova,26/01/2020
6.19,ZIVOJINOVIC Milan,01,ANA ATL.FELTRE,Padova,16/01/2021
5.11,DALLA CORTE Matteo,01,ANA ATL.FELTRE,Padova,12/02/2022
4.79,DALLA CORTE Matteo,01,ANA ATL.FELTRE,Padova,09/01/2022
6.10,ARGENTA Alessio,06,ANA ATL.FELTRE,Padova,04/02/2023
5.98,ARGENTA Alessio,06,ANA ATL.FELTRE,Parma,22/01/2023
5.74,ARGENTA Alessio,06,ANA ATL.FELTRE,Padova,15/01/2023
6.30,ARGENTA Alessio,06,ANA ATL.FELTRE,Padova,27/01/2024
6.18,ARGENTA Alessio,06,ANA ATL.FELTRE,Padova,14/01/2024
5.82,SAADAOUI Omar,08,ANA ATL.FELTRE,Padova,28/01/2024
5.76,BELLUS Riccardo,08,ANA ATL.FELTRE,Padova,21/01/2024
5.70,PETITTO Leonardo,08,ANA ATL.FELTRE,Padova,04/02/2024
5.69,BELLUS Riccardo,08,ANA ATL.FELTRE,Padova,28/01/2024
5.66,BELLUS Riccardo,08,ANA ATL.FELTRE,Padova,04/02/2024
5.64,PETITTO Leonardo,08,ANA ATL.FELTRE,Padova,28/01/2024
5.42,PETITTO Leonardo,08,ANA ATL.FELTRE,Padova,21/01/2024
5.09,DALLA CORTE Matteo,01,ANA ATL.FELTRE,Padova,03/02/2024
4.68,DALLA CORTE Matteo,01,ANA ATL.FELTRE,Padova,27/01/2024
