Prest.,Atleta,Anno,Società,Città,Data
7.17,SIRAGNA Lorenzo,01,ANA ATL.FELTRE,Udine,27/01/2019
7.24,DALLA SEGA Andrea,95,ANA ATL.FELTRE,Modena,11/03/2012
7.25,ROLDO Demis,85,ANA ATL.FELTRE,Padova,05/01/2019
7.28,ZANDOMENEGHI Marco,97,ANA ATL.FELTRE,Padova,10/02/2019
7.30,ZABOT Julian,02,ANA ATL.FELTRE,Padova,18/01/2020
7.31,TIREL Enrico,93,ANA ATL.FELTRE,Udine,12/02/2012
7.33,MANISCALCHI Stefano,90,ANA ATL.FELTRE,Padova,24/01/2009
7.37,ZABOT Alex,98,ANA ATL.FELTRE,Padova,11/01/2015
7.45,DALLA SEGA Davide,99,ANA ATL.FELTRE,Padova,21/01/2018
7.58,SCOPEL Simone,06,ANA ATL.FELTRE,Padova,29/01/2023
7.63,PARANI Aire,94,ANA ATL.FELTRE,Pergine Valsugana,06/02/2010
7.78,EL AOMARI Abderrahmane,78,ANA ATL.FELTRE,Padova,11/02/2017
7.80,MADONNA Donato,91,ANA ATL.FELTRE,Padova,10/01/2016
7.88,MILOSEVIC Petar,03,ANA ATL.FELTRE,Padova,26/01/2020
8.06,ZUGLIAN Giorgio,00,ANA ATL.FELTRE,Padova,03/02/2018
