Prest.,Atleta,Anno,Società,Città,Data
21.39,DA COL Fabio,93,ANA ATL.FELTRE,Saronno,27/06/2010
25.00,TONO Lorenzo,94,ANA ATL.FELTRE,Saronno,12/06/2011
52.91,MARRONE Sebastiano,96,ANA ATL.FELTRE,Padova,21/04/2012
51.08,MARRONE Sebastiano,96,ANA ATL.FELTRE,Bassano Del Grappa,16/09/2012
50.82,MARRONE Sebastiano,96,ANA ATL.FELTRE,Vicenza,27/05/2012
49.92,MARRONE Sebastiano,96,ANA ATL.FELTRE,Bastia Umbra,24/06/2012
49.84,MARRONE Sebastiano,96,ANA ATL.FELTRE,Mestre,01/04/2012
49.29,MARRONE Sebastiano,96,ANA ATL.FELTRE,Abano Terme,13/05/2012
46.21,MARRONE Sebastiano,96,ANA ATL.FELTRE,Firenze,30/09/2012
57.99,MARRONE Sebastiano,96,ANA ATL.FELTRE,Bassano Del Grappa,22/09/2013
57.31,MARRONE Sebastiano,96,ANA ATL.FELTRE,Vicenza,26/10/2013
55.88,MARRONE Sebastiano,96,ANA ATL.FELTRE,Jesolo,05/10/2013
55.79,MARRONE Sebastiano,96,ANA ATL.FELTRE,Vicenza,19/05/2013
54.04,MARRONE Sebastiano,96,ANA ATL.FELTRE,Mestre,12/06/2013
53.35,MARRONE Sebastiano,96,ANA ATL.FELTRE,Montebelluna,05/05/2013
52.90,MARRONE Sebastiano,96,ANA ATL.FELTRE,Trento,09/06/2013
28.08,CICCOMASCOLO Lorenzo,97,ANA ATL.FELTRE,Trento,05/10/2014
26.36,CICCOMASCOLO Lorenzo,97,ANA ATL.FELTRE,Vicenza,04/05/2014
38.80,PICCOLO Fabio,00,ANA ATL.FELTRE,Rosa,18/09/2016
36.21,PICCOLO Fabio,00,ANA ATL.FELTRE,Bovolone,02/10/2016
29.47,PICCOLO Fabio,00,ANA ATL.FELTRE,Udine,06/08/2016
28.81,PICCOLO Fabio,00,ANA ATL.FELTRE,Vicenza,01/05/2016
31.32,GURRIERI Davide,00,ANA ATL.FELTRE,Chiari,01/10/2017
25.50,DALLA CORTE Matteo,01,ANA ATL.FELTRE,Bovolone,30/09/2018
21.39,DA COL Fabio,93,ANA ATL.FELTRE,Saronno,27/06/2010
25.00,TONO Lorenzo,94,ANA ATL.FELTRE,Saronno,12/06/2011
52.91,MARRONE Sebastiano,96,ANA ATL.FELTRE,Padova,21/04/2012
51.08,MARRONE Sebastiano,96,ANA ATL.FELTRE,Bassano Del Grappa,16/09/2012
50.82,MARRONE Sebastiano,96,ANA ATL.FELTRE,Vicenza,27/05/2012
49.92,MARRONE Sebastiano,96,ANA ATL.FELTRE,Bastia Umbra,24/06/2012
49.84,MARRONE Sebastiano,96,ANA ATL.FELTRE,Mestre,01/04/2012
49.29,MARRONE Sebastiano,96,ANA ATL.FELTRE,Abano Terme,13/05/2012
46.21,MARRONE Sebastiano,96,ANA ATL.FELTRE,Firenze,30/09/2012
57.99,MARRONE Sebastiano,96,ANA ATL.FELTRE,Bassano Del Grappa,22/09/2013
57.31,MARRONE Sebastiano,96,ANA ATL.FELTRE,Vicenza,26/10/2013
55.88,MARRONE Sebastiano,96,ANA ATL.FELTRE,Jesolo,05/10/2013
55.79,MARRONE Sebastiano,96,ANA ATL.FELTRE,Vicenza,19/05/2013
54.04,MARRONE Sebastiano,96,ANA ATL.FELTRE,Mestre,12/06/2013
53.35,MARRONE Sebastiano,96,ANA ATL.FELTRE,Montebelluna,05/05/2013
52.90,MARRONE Sebastiano,96,ANA ATL.FELTRE,Trento,09/06/2013
28.08,CICCOMASCOLO Lorenzo,97,ANA ATL.FELTRE,Trento,05/10/2014
26.36,CICCOMASCOLO Lorenzo,97,ANA ATL.FELTRE,Vicenza,04/05/2014
38.80,PICCOLO Fabio,00,ANA ATL.FELTRE,Rosa,18/09/2016
36.21,PICCOLO Fabio,00,ANA ATL.FELTRE,Bovolone,02/10/2016
29.47,PICCOLO Fabio,00,ANA ATL.FELTRE,Udine,06/08/2016
28.81,PICCOLO Fabio,00,ANA ATL.FELTRE,Vicenza,01/05/2016
31.32,GURRIERI Davide,00,ANA ATL.FELTRE,Chiari,01/10/2017
25.50,DALLA CORTE Matteo,01,ANA ATL.FELTRE,Bovolone,30/09/2018
